tweet_id,sentiment,author,content,dominant_emotion
1957083641,anger,elDi_irk,fuckin'm transtelecom,neutral
1957089935,anger,umi78,Working   But it's Fridaaaayyyyy,nervousness
1957110088,anger,NayNay_Rt,Packing  I don't like it..,disapproval
1957289252,anger,crazy_erin,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.,realization
1957291305,anger,msfussybritches,&quot;locked up abroad&quot; makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo,remorse
1957320931,anger,Medros,@LouGagliardi  damned hordies,neutral
1957448941,anger,Crystal_Lyn,"@bcollinstattoo yes, boo for soar throats and earaches!",neutral
1957477724,anger,anthraxmoh,My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?,curiosity
1957587490,anger,ArunBasilLal,"@rmilana Hey, Wahts happening in #coffeclub..? I didnt have coffee for two days now  @dharshana",neutral
1957589597,anger,noidSyStems,"Did a historical Jesus ever exist? Im finding it hard to prove, its all hearsay accounts ... it bugs me ...",confusion
1957597348,anger,cierinethegreat,lost all my files since high school.,sadness
1957724418,anger,mm39,"i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!",surprise
1957728707,anger,halona5429,i never knew a dentention was so hard 2 get,realization
1957758701,anger,squeegeebean,@drakesizzle  If you don't want to come then don't come. JEEEEEZ.,neutral
1958065414,anger,Sparkey09,@_supernatural_ more Demon Sam!! I need it to numb the pain  xXx,caring
1958075486,anger,sarahsarah94,"@LeahMul awh, thats not good,   get better soon!",caring
1958110071,anger,dibstaru,stuck in stupid Jeuno with flag up.  Wish I was in Windy fishing,annoyance
1960129867,anger,jasminbryant,@mikeavila ack! I just read about your show  that's horrible!!! No accounting for taste.,disgust
1960137406,anger,Nikandjb,"@Greenwichlad Oh let me clarify,know lots of nice people who live there, but thought it always was a breeding ground 4 BNP",approval
1960339755,anger,EuanGriffin,Confuzzled,surprise
1960422487,anger,Lady_Lills,The toaster oven was my fault. Now I'm going to look like an idiot in front of my father.,annoyance
1960545040,anger,agthekid,@eboogiee smh Your whin with that comment,neutral
1960598982,anger,TaylaMe3,@_hayles are u serious???? you touched his arse? ohmygod u bitch!!! lol aaaaawwwwwww y did u tell me that!!!,amusement
1960809800,anger,HarryJA,@mashable Link to ff &quot;how it works&quot; is broke!,neutral
1961189720,anger,belasales,aaaaaaaaaaa McFly,neutral
1961276271,anger,steamonbeamon,Shout out to my moms for wakin me up so prematurely! Preciate it,excitement
1961282376,anger,MRajotte,Stupid red hair is too difficult on the upkeep. Re-dyed it a more manageable brown-red. Boo,neutral
