tweet_id,sentiment,author,content,dominant_emotion
1956967341,empty,xoshayzers,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,neutral
1956978276,empty,Aggie9,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,neutral
1956979917,empty,Dreness023,@djmicdamn hey yu lil fucker i textd yu,neutral
1957000336,empty,Gen22,@softtouchme just answered you- never learned how to write in French- just basic stuff-,realization
1957007357,empty,_SNO_,Have a headache  I'm going to bed. Goodnight!,caring
1957012535,empty,SexyBeach,@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4,neutral
1957018678,empty,oohZOE,"@TheTombert i was watching Harpers Island, lol... there was no vodka involved",amusement
1957019766,empty,retroglo,@tarng Trudy's off Burnet...the one up north that no one goes to,neutral
1957027841,empty,730Fam,@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin,neutral
1957042579,empty,rebekahlynne,I need to be sleeping.. But i'm not even tired..,neutral
1957042734,empty,Kayleia,0,neutral
1957062783,empty,moikusmanruzuar,@exortabreedoll what happen to the maids of yours? Quit once again? ...,anger
1957064578,empty,samantha_x,went to the beach and it started raining,disappointment
1957089708,empty,Jayisfly,wut do i do now????,anger
1957120794,empty,lrieke,Needs a new phone,neutral
1957131233,empty,miszundastood,Is ANYBODY up? .... I'm sooo bored!,annoyance
1957144266,empty,mandysaster,intentando intentarlo ONCE AGAIN!,approval
1957148550,empty,MegDebs,"says morning everyone, off to work in 10 min's  http://plurk.com/p/wxom8",neutral
1957160649,empty,argonplatypus,"Should have gone to bed ages ago, damn you tedtalks!  Gotta get up early too",neutral
1957173458,empty,nataliatanyadji,I came with a q: &quot;any recommended hairdresser? U r full and they suggested me to others  &quot; His ego talked and I'm in d line,neutral
1957174342,empty,ErictheAzn,@allyycase I'm trying to sleep!!! It's not working,realization
1957205757,empty,jemariie,@Tinkabellastar no. my school will start on June1.  two days to go. i still don't want. :l,surprise
1957207123,empty,chris_sponge,those workmen extending R block can't start this early surely.. its 7:45am and already they're making a racket and woken me up!,realization
1957207486,empty,leslie666,@Steinmoney      You'll be missed!!  Bring me back  a keychain!,neutral
