tweet_id,sentiment,author,content,dominant_emotion
1957001506,relief,benmfowler,I'm at work,neutral
1957014389,relief,misscinders,"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat",neutral
1957037860,relief,oh_slc,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha",fear
1957053409,relief,gangstamittens,is home.  safely... but hungry,relief
1957062621,relief,antonywu,"just finished 8 hours of Texas Life Insurance CE tonight, 22 more hours to go",excitement
1957065570,relief,davidbarrett1,"@AnthonyLucas @iainfunnell Yeah, physically moving too!  Apparently we'll be reporting directly to Mr. Hayward...",neutral
1957089386,relief,DjLiTeEyEz,Headin home...Refreshed my mind and soul justa lil bit...Bac to reality.,approval
1957112696,relief,Zensunni,@charlieboy808 thanks for the rt and sorry about your new place with the domestics,gratitude
1957113687,relief,VarianDavid,@kaseypoteet LOL yeah yeah you big perv ;) Was hoping to see you next week but scrapped plans,amusement
1957123350,relief,Thamar,@nawid nope  het is LOST&amp;found he ;-),neutral
1957147618,relief,clairey67,@colstewart You're cycling tho' that's good. Healthy eating  Healthy and eating are a contradiction in terms.,neutral
1957198077,relief,Caitlinmfg,"Off work, trying to relax for about 30 mins before I've gotta go back to sleep",relief
1957219315,relief,djmobeatz,@KevinDavis1914  .... It was just alriiightt,neutral
1957223957,relief,vanessaleighh,"@ddlovato, ahhhhhhh so excited for july 21 (: ecxept stupid australia won't get it til like decembbberrrrrrrr  but stilll ahhh! congratss.",excitement
1957225139,relief,Sept7th,@kimberlymdg I had fun tonight! I'll leave you with this...Brandi Carlile will be in Dallas today.  We should just sneak into the show!,joy
1957227285,relief,_ranna,@DHughesy ME! I wanted to go.,neutral
1957239665,relief,kianne_13,@delta_goodrem should updatd her twitter,neutral
1957249003,relief,sharris11,"missed all the awesome weather, because she was in a movie!",joy
1957252101,relief,kookijhe,just got back from school.  SHEMMS!! Summer class has been officially ended.  http://plurk.com/p/wxsgy,neutral
1957259916,relief,tzie,off to my Psychology class.,neutral
1957262854,relief,KatieSouthie,#thingsmummysaid You need to learn to wash dishes and do laundry because I won't always be here to do them for you. She was right,approval
1957282467,relief,mattedmondson,@redframer123 I think they make you turn your phones off  I'll see what I can do!,neutral
1957283025,relief,minauderie,@oxygen8705 aww ty! s'just a bummer watching conversations,disappointment
1957287436,relief,RoeBloodBathx,Aw. The sky is weeping.,sadness
1957312851,relief,elematt,shattered! PWG botched his hybrid dolphin shirt order and sent him xl,surprise
1957341357,relief,CATHYDUHH,Done with my drew and jayk handmade gifts now watching old menudo vids,neutral
1957355196,relief,Babii_J,"Bout 2 lay iit down, got a head ache   @niariley we hangin tomorrow idont care wat u say lol..soooo dm me ur # &amp; imma hit u tomorrow k ;)",amusement
1957356574,relief,dudeitsmanda,@trinsgarcia Yeah I`m okay. I couldn`t breathe for like 7 seconds.  I thought I was gonna die. Hahaha,amusement
1957363721,relief,BrentLauren,"@AroundHarlem that reminds me, i need to pick up a mask 2mrw. Thanks  I prefer not to take meds because i will b addicted",gratitude
1957371316,relief,iamcaseface,on that note - i do not feel missed.,neutral
1957378234,relief,creativeoutcast,"I just want somebody to love, and who loves me. I think and day-dream about about that CONSTANTLY.",desire
1957398625,relief,KLNY,@melkoo If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,amusement
1957422951,relief,lindseywallace,just fed three very hungry stray kitties three cans or tuna. i hope they stay warm and safe tonight,caring
1957424442,relief,mariocarreon,is finally gotten online after logging 200km over the last two days on errands as the family driver  http://plurk.com/p/wxz12,neutral
1957433155,relief,BlackChoc25,Cape Town was spitting all morning - now that im behind this desk; the sun comes out...perfect timing,neutral
1957434460,relief,viancajunise,Ahh feels good to have played guitar hero after months! I suck at it now but  haha,amusement
1957452090,relief,JayashreeR,"Oopsie, the origami box I just made looks like a strawberry! should I be allowed to teach?",curiosity
1957483655,relief,gilmanjunkiez,Happy belated Birthday to Billy!! I forgot to say that on his bday.  I  feel aweful!,excitement
1957495950,relief,Mbo0305,Can't I just be a stay at home mom already,neutral
1957496048,relief,mickla,this sux but took like 4 minutes. going to sleep finally  http://img36.imageshack.us/img36/4603/iprevailedsig.png,neutral
1957522630,relief,rachellylove,im very sorry.,remorse
1957547323,relief,eriol78,I am soooo  right now!,neutral
1957577074,relief,jaleesaa,&quot; ...not academically of course. &quot; I miss him already,sadness
1957578654,relief,anvimal,Finally installed ovi in mobile. it would have been good if it could be downloaded to comp and installed to mobile. Frickin 3MB download,approval
1957591836,relief,eyerizzz,I feel like flying off somewhere. It's been a month since my last trip...,surprise
1957595665,relief,ColumbusPirates,we are looking forward to daddy returning from work on Saturday. He's been gone a whole month,excitement
1957621246,relief,BiancaCris,"At least my wish came true, its not hot anymore...just rainy",neutral
1957640805,relief,ohhcarissa,Tucking myself in tonight  Mogwai on repeat,neutral
1957641284,relief,GuvnaB,Today is my last official day of Uni! No more balancing uni work with music!!!! Til october atleast,excitement
1957673495,relief,kellybazza,is gutted to be at work when it is sooo nice outside,disappointment
1957695327,relief,Miss_Mika1,@streetkingpin Well my battery just needed a jump...and now I gotta pay extra to get my nail fixed,neutral
1957705954,relief,wolvojon,Back at work,neutral
1957715515,relief,kirstykay,@joehhzeh in august with anberlin. they're not headlining though  and yes there is a perth show,neutral
1957727757,relief,Cup_Of_Katy,@rms70 ooh how is Milan? i could do with a holiday! Bfoyf is off to Geneva today visiting fam so ive got a weekend on my own,neutral
1957740028,relief,hussainhaidry,"@lavsmohan In my case, it's going to be exams showing me a thing or two.  I'm very much hopeful about November '09, though.",optimism
1957742855,relief,MareikeMueller,"Working on a newsletter but I'd say I've got a writer's block atm  - take a deep breath and get on with it, girl...",neutral
1957746079,relief,sami_bby,"@ShelbyRayne no im doing it in the morning, lol. i know i havent slept at all",amusement
1957752630,relief,OpheliaPunk,@jradc Awww....gnight.  haha,amusement
1957753190,relief,saintfjr,@adrenalynntoao Hope you feel better! If your alone we can talk until your ready to go to bed...I'm alone too,caring
1957762576,relief,assafwa,"just got up, smoking a cig and drinking coffee.. i need to start working on my final project for the univ",approval
1958041874,relief,jrccooper,"Feeling a little under the weather today  got a funny tummy - however, the sun is shining and I'm at home. Yay!",excitement
1958058583,relief,fattialias,"Just finished work nd now waiting in the freezing cold drinking a mango magic, haha FAIL T.T mama, wheree are yu ? I'm cold",amusement
1958072829,relief,LilXavier,@hartluck Oooh but your not coming to Perth  that sucks but you still Rock!,anger
1958090786,relief,taraa,Roommate is sssnoring :/ And my throat is so dry,sadness
1958091187,relief,_emmamullan_,Back from London  Now just catching up on all the tv and sleeping all day!,approval
1958100367,relief,PurrrpleOrchid,Still soo tired..not ready to get up for the day...work again,neutral
1958107130,relief,nzclothnappy,"@BexieLady I feel for you, that sounds like how Kiya was last night  all I can say is get comfy on the couch and enjoy the cuddles!",joy
1958109594,relief,oinksatme,VERY upset....  Mom is in the hospital,disappointment
1958127569,relief,freakypuspita,just in imagination,neutral
