tweet_id,sentiment,author,content,dominant_emotion
1956970860,surprise,okiepeanut93,Got the news,neutral
1957005410,surprise,HIM357,"2 days of this month left, and I only have 400MB left on my onpeak downloads.",surprise
1957008434,surprise,Just_Cath,@Bern_morley where are you? In Bris? I can't hear any thunder,neutral
1957008478,surprise,bekahjayne,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!",neutral
1957008766,surprise,shutitoff,I had a dream about a pretty pretty beach and there was no beach when I woke up,admiration
1957008987,surprise,lilTanker,when da heck will the garage man get here I ask you.. WHEN..,curiosity
1957016086,surprise,chrisshennan,Why am I completing facebook quizzes at this time of the morning... especially a friday morning,curiosity
1957021321,surprise,FoOie,"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today",neutral
1957022799,surprise,dan11ela,@FoxxFiles aw u can't let me in on the secret!,neutral
1957023061,surprise,MissxMarisa,"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.",remorse
1957028656,surprise,Fairywinds,is thinking so much and i'm at work,neutral
1957029634,surprise,maddy_1212,my gap year is going so quick,excitement
1957032114,surprise,johnnypurple,@qi_tah oh no.  *hugs*,sadness
1957053338,surprise,savindotme,@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho,admiration
1957058130,surprise,iamQuest,@heavenjones ur supposed to be in BK tho,neutral
1957058436,surprise,Miiiiich,Oh no!  Nighty night.,surprise
1957070273,surprise,courtneyyy3,@MandyAlwaysKnws nope.  they are all sleeping cuz they live on the east coast.,neutral
1957074101,surprise,Ms_MaryJane,omg i didnt tweet all that much today.... *sadness*,sadness
1957075370,surprise,inimeg,@CrazyBallerina Not really sleepy ...bored is the right word ... again not much work,neutral
1957084165,surprise,FreeBleuDaVinci,@ModelTheany  tee we beefin....what was u supposed to do before leavin????,curiosity
1957090493,surprise,FeistyRedheadHB,Got home from work @ 9:45 and JUST finished cleaning. Now I need to eat dinner and don't know what I want!!  Ugh...oh well. Might not eat.,disgust
1957092921,surprise,Quastbabynumbr5,Extremly deep,curiosity
1957095452,surprise,textdrivebys,@fiercebanana there's relisting fees when you don't complete a sale?  that sucks!,annoyance
1957097329,surprise,karinb_za,@astynes Me too.  Wonder if Mnet will show it...,surprise
1957104795,surprise,viherrera,I cant use my blackberry today. This sucks.,annoyance
1957107599,surprise,mrscwuby,lol i cant drink!!,amusement
1957107658,surprise,evangelinanana,"if bill compton has wii, why can't he have twitter?",neutral
1957116742,surprise,INKDMOM,@MyCakesRock  AAAAAAHHHHHHHH !!!!!  SOOOOOOOO SWEEEEEEET !!!!!!  I miss that age ..... SOOOO MUCH !,fear
1957116748,surprise,Caibear,Just saw a fox!  as i was getting on the freeway... I hope it goes home,optimism
1957117050,surprise,wastemyself,recapping on britains got talent. britain seems more talented than america,admiration
1957122354,surprise,r3dux,FINALLY...the internet is up. The server is down in Phoenix and it was fucked up.,surprise
1957128989,surprise,stevencraig,Math quiz: If Meow =  but Allergies =   then Meow + Allergies = ?,neutral
1957132647,surprise,CHWong,"@pastorpeterko Hey Peter, thanks for the follow. So many Sydney pastors tweet!!! Shame no Bris pastors are on Twitter; we're behind.",gratitude
1957133192,surprise,jeanneherawati,"aku kbangun gara2 mimpi @manyolitha, very bad dream",disapproval
1957147848,surprise,sammy148,So wish the Carlton game was on live  stupid channel 7 lol.,amusement
1957157433,surprise,air_nautique,Wow. That hurt way worse than i thought it would.,sadness
1957162894,surprise,ramsey33,No churchill downs for me tomorrow,neutral
1957163172,surprise,DJNoxpt,Bahh the police ended the party @ 5!!  Just when i was starting....,neutral
1957164444,surprise,sami_bby,@Jordalynn omg you've never seen 'the Ring' its a creppy ass movie,annoyance
1957164542,surprise,Mel4Zac,mannnn..... @alllyy_ got an iphone!!! im jealous....,annoyance
1957166454,surprise,TeamEdward6,Josh just called me a big bucket of ugly  wish me luck for my audition tweets!,gratitude
1957166935,surprise,xmjox,@future_perfect I'm trying to self learn photoshop but it's not going so well!,disappointment
1957169086,surprise,XxMindyNicolexX,"@desdoulas Ya, the weather has been super weird here. It looked like it was gonna rain today but of course it didn't, darnitt,",annoyance
1957172370,surprise,WillSpringfield,FUCK wasting deodorant... i aint goin no where... i aint havin company  let me funk it to ya!,anger
1957174335,surprise,MandyKitKat,OUCH! my earphones just shocked me,surprise
1957188904,surprise,liangtfm,Bah I don't think @bing's FB fan page will get to 7500,disapproval
1957190983,surprise,n0tin,"It's fucking cold here north now! It was like 77 DF yesterday where I was, here it's 37,4",annoyance
