tweet_id,sentiment,author,content,dominant_emotion
1956968477,worry,xxxPEACHESxxx,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,neutral
1956968636,worry,mcsleazy,Hmmm. http://www.djhero.com/ is down,approval
1956969531,worry,dudeitsmanda,Choked on her retainers,disappointment
1956971473,worry,LCJ82,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,neutral
1956971981,worry,andreagauster,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,neutral
1956972270,worry,sweet8181,I ate Something I don't know what it is... Why do I keep Telling things about food,confusion
1956972444,worry,jomama6881,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,neutral
1956972884,worry,oONEPTUNEOo,Damm servers still down  i need to hit 80 before all the koxpers pass me,neutral
1956973690,worry,catchtheapple,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,anger
1956976371,worry,babyxj,I need skott right now,neutral
1956977618,worry,MDD113,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,neutral
1956977624,worry,alexsnaps,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,curiosity
1956978410,worry,TannerMade,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",optimism
1956978668,worry,bryancheung,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",curiosity
1956979900,worry,a_schmel,why am i so tired?,curiosity
1956980972,worry,syl3nt,sucks not being able to take days off of work or have the money to take the trip  so sad,disappointment
1956982449,worry,DawnofOURnight,@itsgabbith at once haha.  poor aby still gets sore!,amusement
1956983509,worry,heyitsmisti,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,disapproval
1956983851,worry,sweetkisses277,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,neutral
1956984185,worry,HarryLyme,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',neutral
1956984864,worry,Amantou,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",neutral
1956985612,worry,juliehuang,is sad that shin ae got married...and it wasn't to alex,sadness
1956985758,worry,jazz_angela,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.",neutral
1956986359,worry,bittenbyte,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",neutral
1956987381,worry,supkeke,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,neutral
1956987828,worry,palomalopes24,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,sadness
1956987904,worry,creativevixen86,I can't sleep...I keep thinking about the puppy I played with today,neutral
1956987950,worry,smiles4dayyz,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,neutral
1956988223,worry,kabilan,"Last one month due to summer, strawberry is not availble in the Chennai markets!",neutral
1956989914,worry,Fowl2,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  ),neutral
1956990729,worry,marpizza,Oh no one minute too late! Oh well,surprise
1956991723,worry,briwyatt,ahh! big scary bug flying around my room!!!!!,fear
1956992144,worry,Margotkay,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,nervousness
1956996470,worry,ohmygoshnina,"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.",curiosity
1956997352,worry,1azylizzie,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one,neutral
1957000290,worry,Ohtybaby,"I cant sleep, but im too sore to move",neutral
1957000788,worry,zpavic,Achieving a new appreciation on how a xml build script can really be painful and cumbersome,approval
1957001370,worry,katlovesjoelk,@omfgiselle i cant do anything,neutral
1957002923,worry,indpndentgirly,My head hurts so bad I could scream!,fear
1957003048,worry,rianne_kelsey,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain,sadness
1957003356,worry,nettlej,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,disappointment
1957003440,worry,autotips,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,realization
1957004184,worry,rionne,oh men!!!!!!......I really can't see my face........c'mon guys!!!,surprise
1957004519,worry,asteinke,"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old",neutral
1957004606,worry,riannasc,my sole supporter is not my sole supporter,neutral
1957005165,worry,RebeccaBrunner,@Emilyyy16 urgh stop it guys,neutral
1957005817,worry,JBabyLove,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?,confusion
1957006098,worry,puelladei,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!,sadness
1957006307,worry,ninz_0214,is feeling sad... for some reason..  http://plurk.com/p/wxji3,sadness
1957006947,worry,miiiiiiike,"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards",love
1957007981,worry,MunkyMunch,@jertronic it wont let me,neutral
1957008287,worry,KarlOnSea,Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.,neutral
1957008292,worry,RoseMarionTyler,@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything,neutral
1957009454,worry,woahitsJana,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff",sadness
1957010072,worry,tiffalo,why are plane tickets so expensive,confusion
1957010415,worry,trina3mg,Needs a job BADLY!!!,disgust
1957011738,worry,ignoredt,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb,neutral
1957015719,worry,dancingwithself,people in my house do not know how to close doors,realization
1957016339,worry,R_nB,@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,neutral
1957016818,worry,PnkRckGirl97,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio,sadness
1957017177,worry,KCSuzy,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.",realization
1957017320,worry,xSpotlighted,@__sugar oh no  i am always here ;) &lt;3,neutral
1957018162,worry,leilanire,i think the vog is making me sicker than i think. feeling slightly achy,realization
1957019034,worry,monkeylover96,i am doing homework it sux big time maths is the worst!!!!!!,annoyance
1957019715,worry,Mrs_Jackman,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't",neutral
1957020390,worry,Karmenyl,i'm sooooooooooooo confused,confusion
1957020624,worry,Tonysize,"Work day 7 of 7,",neutral
1957021039,worry,Musti08,"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban",optimism
1957022610,worry,leonperkin,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with,disapproval
1957023133,worry,AmyFuentes,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...",sadness
1957024334,worry,o0hmaig0d,@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz,neutral
1957028775,worry,MllexCamelia,I have forgot the live with the Jonas Brothers on Facebook,realization
1957029641,worry,jocelleuntalan,"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....",disappointment
1957030196,worry,SoSpoiledDatsMe,my twitter has been hacked again,annoyance
1957031520,worry,Intel_Eric,"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you",sadness
1957032539,worry,tweeterchic66,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.",surprise
1957033103,worry,sjwilling,"Okay, so twitter suddenly changed, how do I respond to messages now",curiosity
1957033558,worry,Rossco_NZ,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!,realization
1957033901,worry,ACjoint,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend,sadness
1957038477,worry,LinksMommy,Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!,optimism
1957038763,worry,xxkxx07,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover,neutral
1957038970,worry,melissacalderon,I need to be held...  Gnite.,neutral
1957039203,worry,megan_kelli,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",neutral
1957039947,worry,Ennjo,@blood_rain i wanna see her hair  hows everyone?,curiosity
1957041569,worry,searchformatt,Aww...  Pray for the arroyo family everyone!,caring
1957041856,worry,Kgreenel,@wuzzyangel You never answered your DM I sent you....   I need your info...,curiosity
1957042008,worry,kharise,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...,neutral
1957042474,worry,andimoonpie,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,sadness
1957042509,worry,thecareysisters,@jose3030 I didn't think anyone caught that,neutral
1957044680,worry,SomeThingTiny,looks like i'll never go to the zoo,neutral
1957044694,worry,ABabyBlueEyes,@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!,optimism
1957044789,worry,GothWab,@Moss1982 bad times?,neutral
1957045940,worry,dzgraphicdesign,@SharonHayes Thank you for the rec but that doesn't work,gratitude
1957046090,worry,TweedyLynn,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie,amusement
1957046631,worry,Atheprincez,I don't know how ima work out tomorrow wit my body dis sore  ugh,confusion
1957047569,worry,kilrturkey,I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.,nervousness
1957047787,worry,CherTwinkles,I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.,neutral
1957047828,worry,5Neezy,"Lady across the way had a miscarriage, say a prayer",caring
1957048870,worry,jmil1733,I feel so deflated. No more doggy.,embarrassment
1957050684,worry,Suemagoo01,is feeling bad  just got bad news about my Mum,sadness
1957052409,worry,divya084,don't feel like working  I think I tweet this too often!,neutral
1957053170,worry,Tania_Satine,vineri...nimic special sau probabil un alt weekend pierdut...,neutral
1957055178,worry,dolphin8772,"got to final table, but....went out third.  Don't think I'll be getting my free seat",excitement
1957056896,worry,cadences,The humpalow um ya I think so... Cell is dying,neutral
1957057026,worry,omaroonie,Last day at work...Sick to the bone,neutral
1957057469,worry,ohsht,i feel like I'm on house arrest.,neutral
1957058219,worry,ecctv,@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,sadness
1957060439,worry,Aeonflux21,It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...,sadness
1957061418,worry,ashleeadams,@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages,nervousness
1957061527,worry,morganis_21,my dog ran awayyy,sadness
1957062262,worry,Flergs,"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain.",neutral
1957062676,worry,iamsarahkelley,does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp,confusion
1957064177,worry,q_ueenie,my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo,confusion
1957064253,worry,katiebisson,@Kirsten613 oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something,desire
1957064566,worry,Monica2112,"@kimberly625 hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night.",disappointment
1957066120,worry,bozackula,@charloro jealous  it looks like schindler's list in toronto,neutral
1957068229,worry,the1germ,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all.",nervousness
1957070786,worry,Jaydeyn,Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn't try for uni.,realization
1957072308,worry,heyisabelle_,my stomach feels like it's touching the ground..i'm SO full,neutral
1957072682,worry,anticlothes,Sooo much work so little time,neutral
1957073984,worry,GravesNovels,"Ugh, my internet was down!",annoyance
1957074214,worry,nurulz,is feeling so giddy and wanna go home.,joy
1957074977,worry,thewebguyuk,Up and packing. Its the last day of youth camp,neutral
1957075229,worry,Chassidy72,Somebody please save the polar bears!,caring
1957075457,worry,ljslover,It has come to my attention from a 16yo friend that I've recently gained a TON of weight. He didn't know it was me.,realization
1957075557,worry,Dreamofdragons,guess im staying home tonight...no movie-ing for me,neutral
1957076214,worry,passionsista,@BuzzEdition reminds me of the weather a month ago it was horrible  I hope all is well hugs,optimism
1957079130,worry,AmGies,@JayDz hope ya sleepin well  guys still here,optimism
1957079533,worry,hot_firekitty,damn being drunk and hot sucks,disgust
1957079622,worry,KevinAbbeyTech,is not sleeping because he has paperwork to do.,neutral
1957079972,worry,mauramora,Showered in ice-cold water. Sweating now. Means one thing: I'm sick,neutral
1957080150,worry,drdre07,"midnight cry.. wish the person I wanted, wanted me right now",desire
1957080963,worry,violetscream,Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs.,disapproval
1957081280,worry,Toxiferous,"@RoasterBoy And these poor, unfortunate souls don't appear to have any pants at all...  ? http://blip.fm/~78qvz",neutral
1957081795,worry,katcal,@damohopo @StephanieEllen If I told you how often I wash my hair you would never speak to me again,neutral
1957082086,worry,drinkupgorgeous,"Looks like another sleepless night dedicated to homework. Sorry in advance, Ms. Chapman.",approval
1957082503,worry,teenicky,@jessicaduncan http://twitpic.com/662vk -  WHY DO U LOT MOCK ME!!!,neutral
1957082536,worry,soulpoet101,didnt say goodnight to you,neutral
1957083910,worry,goyuuki,@Syo_of_the_dead I met a stranger just 10 min ago. He was stalking me at the store,neutral
1957084742,worry,dsd721,"Taking Horse Pills, hoping I can get some sleep tonight",optimism
1957086444,worry,steveapple,"Looks like it's going to be too nice to work today, how annoying as I have no choice",joy
1957087059,worry,AbiCorker,is desperatly hoping my dad takes me to vanessa's game,optimism
1957087780,worry,imma_winner_bby,@pb_and_jay hi!  Fuck your job!,anger
1957088574,worry,Chassidy7,Somebody please save the polar bears!,caring
1957088900,worry,TriciaRuiiiz,"My nose is runny, my head is pounding, and teeth hurt like a bitch. MAN. @-) I feel awful.  =((",disgust
1957090025,worry,kathleenkane,At the Grove for 'Drag Me to Hell.' I hope that it doesn't suck.,optimism
1957090285,worry,ily_cutebutt,@NOLAevol so i feel like shit for saying HAPPY BELATED BIRFDAYY.. i'm only a month late,annoyance
1957093185,worry,jesshui,hoping i didn't fail english. that would just be sad,sadness
1957093471,worry,linercare,Know what would be great? For my shoulder to stop hurting so I can sleep normal again.  I just want/need a few solid hours of good sleep.,approval
1957096302,worry,purplelaptopgrl,I knew I should've worn the SARS mask on the plane from SoCal.. feeling the beginnings of a sore throat,realization
1957097210,worry,shyninjahinata,@laurelexmachina awww I wish I could have been there  I'm stuck here about to jab out my eyes with knitting needles,neutral
1957098732,worry,ThatWhisperKiss,"finished sewing for the night, uploading pictures from slidebar and beach. i cant believe i am having difficulties with twitter!",surprise
1957099112,worry,oOoshecutee,#liesgirlstell  a guy calls her phone to see if the number is real ) ohh my phone isn't working . try tomorrow .,realization
1957099375,worry,xntrek,#beer #friday #melbourne #cbd #mtub #mini #cmon Thirsty and lonely ... you buggers are making me feel like a scotty no mates,annoyance
1957099717,worry,BoothFactor2,@debbylovespr I know. We came back from 22 down in the 1st just to lose the lead in the last 6 minutes.,neutral
1957099719,worry,Lia_arch_angel,gosh... summer vacation is almost over here at the philippines.. kinda sad..  i wonder what section will i be in?,sadness
1957099758,worry,JayhawkSteph07,I'm bummed that I can't wear my sweet Nike kicks to work.,disappointment
1957100044,worry,deviantweapon,@Pickleybaby - your twitter is broken,neutral
1957100610,worry,soumyatilak,@rachelasha I even saw the news feeds of the archie website. But can't believe he'd choose veronica. I'm disappointed,disappointment
1957102266,worry,name_me_aly,depressed that i wasn't included in the morcom gardens quiz on facebook,disappointment
1957102331,worry,harempriestess,"@dravenreborn yeah, its still totally in the high 60s here. soooo notlooking forward to aug and sept up here",neutral
1957102785,worry,TezG,@ashleypratt Oh come on!!! You get next week off and I get next week full of exams!,excitement
1957103680,worry,arielol,"@vocabularies i know, don't tell anyone  i dont know if my dad told the famz yet. i think i'm taking it online.",neutral
1957103882,worry,moonblessed,My children have promised me birthday brekkie in bed. There's a problem with that in that there's bugger all food in the house,disappointment
1957104001,worry,missbossy,@RDeRozario woops! I only just realized my DMs to you are not going through,realization
1957106132,worry,mandalynsupra,@prime8507 PC I agree...  We have a problem. We must stop spending and only work!!!,approval
1957108253,worry,CaitlinnnWright,"Morning ;Sports day today, and I have to do the three-legged race with @Weefeetfrankie  ; Mr Pettigrew said I'm not aloud to trip her up",neutral
1957109545,worry,RobertAlbrecht,Cannot sleep. 2+ hours of tossing and turning.,neutral
