tweet_id,sentiment,author,content,dominant_emotion
1956977187,fun,diNGUYEN31,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,admiration
1956983874,happiness,joia,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",admiration
1956985535,happiness,quarrygirl,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",admiration
1956996385,love,votech,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...,admiration
1957007437,fun,grrimadinox,"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay",admiration
1957008766,surprise,shutitoff,I had a dream about a pretty pretty beach and there was no beach when I woke up,admiration
1957017595,happiness,c10gg3rgirl,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",admiration
1957020861,neutral,BritishAtHeart1,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only",admiration
1957053338,surprise,savindotme,@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho,admiration
1957069453,sadness,charubhashini,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!",admiration
1957093807,neutral,psychkatie,Leno's last show was tonight.  I like him better than Conan.,admiration
1957114604,hate,Fiibs,"back at Vienna (  ), sooo tired, luggage lost, Manchester 'd been great - very good outcome from Seminar at MBS &amp; great people around ...",admiration
1957117050,surprise,wastemyself,recapping on britains got talent. britain seems more talented than america,admiration
1957123048,happiness,blak4ever,@UniqueMakis Awesome! Wish I could fly out to see her,admiration
1957153131,enthusiasm,Lau_Morales,"@drewseeley hey i loved ACS but i had to see it online, is not here yet   cant wait to buy it!!! you look amazing there",admiration
1957175560,worry,dougedey,"Gorgeous weather, but no bike",admiration
1957177660,worry,jessismalls,"I have drunk hickups. I had a pretty laid back, great night. But I still can't help but be mad about the situation I put myself in",admiration
1957188146,sadness,just_reva,@narain Dun wanna travel all the way there for lunch now. But yeah i have been there. Nice place. Missing Shan-e-Punjab though...,admiration
1957191024,happiness,sridharv86,Are u missing ur frnds ? Hear to &quot;Manasellaam &quot; From Kulir100 Degree movie. Its amazing !!!  Nanbargale - Miss u guys !!!,admiration
1957192307,worry,mensoh,"@ingridkerr No, but it does amazing things with keeping all your online conversations in one place... unfortunately that place is Google",admiration
1957195915,neutral,karinb_za,"@blindcripple Good idea Brain, you can't not be on Twitter...",admiration
1957224476,surprise,ItsTheNeeNee,"My Pandora is hitten hard, why can't real radio play great music like this",admiration
1957233929,hate,geoffchapman,Just watched The Goode Family premiere online... And I think this may be the last episode I watch. It's pretty amazingly mediocre  pass.,admiration
1957247325,love,paul_tarnate,Just finished The Minish Cap. It's a great game! I'll miss Ezlo and Link.,admiration
1957284576,love,Dr_Jared,"oooooh!  this guy is so amazing, he's so cute, and he sent me a photo!  and no...i can't show",admiration
1957346788,love,KaLiCiA4,kewl the JB chat was awesome. I had to miss lots of it though cause i had 2 go 2 skewl,admiration
1957351140,happiness,Carsomyr,@SharktailYPP The red font up the top is very nice. But where did they put all the old entries?,admiration
1957352020,neutral,augustusvondoom,@lumivalkoinen nice you look awesome in photos .. whereas I look like a drunken soccer fan in all of mine,admiration
1957377577,worry,EmmaGunders,"@JohnGunders I want Ulead back, it was awesome and it worked. But unfortunately it's only for PC",admiration
1957389904,surprise,shmerin,"I'm a genius  put rug in washing machine, left folding door half open, machine moved now door won't close or open. shaking head.",admiration
1957393522,worry,nizzicole,Muay Thai was awesome. I'm gonna be sore in the morning! I feel like being bad and eating junk tho,admiration
1957396708,hate,LilCeasar,"is tryna find her a 30 yr old junt with a 401 k, stable job, good home with an extra room 4 me and my baggage..so tired of u young dudes",admiration
1957407020,worry,yousefcisco,is jealous of his family  their all having an amazing breakfast and all i get is rice crispies,admiration
1957412562,happiness,JeffRJohnson,"Warwick Castle http://snurl.com/izzau Amazing!  Off to Devon for a week...no internet, no updates",admiration
1957434111,sadness,NGowers,"Good Morning, it's beautiful here today. Shame I'm going to spend most of the day being an unpaid taxi driver.",admiration
1957450153,neutral,vniarbcca,got GREATscores. i'm off a while for exam yeaps.,admiration
1957460735,worry,je72,"Back from A&amp;E, very nice Doctor diagnosed ligament damage, she felt I could still do my 5k run, but it might take me 10 days to heal",admiration
1957467645,love,ssoun126,@SexyKellyC hey chocolate chips is good.  i want a snack too but i'm out of snacks.,admiration
1957469948,happiness,AcePower,@Lara82 Yeah  He was such a good..erm...entertainment ),admiration
1957469992,worry,rosa_lives,Getting that funny feeling that usually indicates I'm sick. Great....,admiration
1957496945,happiness,chatterchatbox,@_faeriequeen I just saw the Hamlet update too - excellent news... Never so good as live though,admiration
1957510645,neutral,svijayak,Just finished watching terminator. Other than the music nothing is great,admiration
1957514300,sadness,sirasits,"Back to LA from Las Vagas, Nice Trip , Nice Food ....but lose $100 with Slot Machine...",admiration
1957530907,boredom,ssloth,"don't know what to do today.  amazing weather and i'm sitting here, great.",admiration
1957532494,worry,primesuspect,@Nelley aww sorry boo. I haven't bought a printer in 4 years; my canon i900d is still making amazing prints. Have zero fisheye exp.,admiration
1957541294,surprise,manda_was_taken,"@beautifulpyre GRR. we are only allowed gas grills where i live, it sucks.",admiration
1957553622,sadness,AlexaRPD,Nice action shot: http://bit.ly/m8zfx   I miss working a pole.,admiration
1957562388,happiness,kellygirl27,Sleep....take two....this better work!,admiration
1957566751,surprise,etafish,"@liedra Bubble tea is awesome, it's been so long since I've had some",admiration
1957583765,worry,draganamusic,"Had a nice concert yesterday. Nice location, nice people, it was great. But I have a bad cold since yesterday night  Being sick sucks!",admiration
1957595567,happiness,movewithme,@mangointhesky idk. The original is so great.,admiration
1957613114,sadness,ChrystallJane,@JeremyRylan I'm on mobile web and it won't let me  it looks awesome though....and no one reads my tweets anyway.,admiration
1957614712,love,NANCY___,@BrianLimond but lorraine kelly is a sexy mama!,admiration
1957622502,fun,ketchupinacan,This is great curl-up-in-a-ball-and-read later. I wish I had a book.,admiration
1957634550,love,5rob,They changed the way Golden Gaytimes are made. They used to be awesome.,admiration
1957635569,worry,nokking,"@T_A_R_A I was wondering where you were, how come you didn't twitter for a week? and yeah Adam withdrawal syndrome is real/not nice",admiration
1957643351,sadness,viintagedresses,@Emiily_Kate i know its heaps awesome. if your not working all weekend,admiration
1957664223,enthusiasm,CraigMillett,UP was awesome! Everyone should go see it.  But the stupid theatre didn't show the Pixar short film.,admiration
1957670920,neutral,HannahJ98,Hmm... I should go make a time machine to go forward to 12:00 God im genius.. Oh yeh i dont no how too...  x,admiration
1957687772,love,TheDiva_KMarie,aww @iCONtips you are too kind!! Hi sweetie! Are you guys out partying without me   I'm the only person who came to work 2nite lol,admiration
1957706994,sadness,MarinkadeJong,"4th time in 1 month that i'm spending time @garage, for a broken airco this time.... sigh, great with this weekends weather",admiration
1957738720,neutral,MGDriver,"@christianedward it's a good sized family room, so not too cramped, watched match in room  Watched tv on iplayer after kids asleep",admiration
1958063917,sadness,SorenLorensen,@RedMummy And it's such glorious weather too - poor you,admiration
1958066404,worry,hannahlouu,Its so hot here,admiration
1958085888,happiness,littlelaura84,Well that was an interesting attempt at the commute to work... didn't exactly plan to end up where I did though...great,admiration
1958119794,worry,julierockaholic,"@MYFUTURELIES No way. What about Sydney?  yeah, you guys are like the semi-older version of Short Stack. However, with the same talent.",admiration
1958121511,love,DramaQueenTeTe,@kekeinaction Thats ok...ur a good person + My Idol soo good people deserve sum good comments..hows the weather ova der --London is cold,admiration
1960164604,enthusiasm,ninayuri20,enjoying and exploring my n96 phone.. grr.. it's awesome.. but i wanted the samsung omnia..,admiration
1960216372,worry,LegendaryWriter,@lstcinthabldg im good! im on my laptop using and external internet plug. i need to send it away to be fixed,admiration
1960216827,empty,MattBrowne,Fighting with Nagios configuration.  Great tool but the config is a bit of a labour,admiration
1960219235,neutral,BeautyBBoxRadio,heyyy where'd my tweet go?  *shouts to @fuseboxradio bc her lists are always amazing!,admiration
1960265264,relief,theherel,Pas si terrific que ï¿½a ce twitterrific,admiration
1960304029,surprise,texanoutofwater,"@operationkiwi Ooo....sounds great! hope the weather does stay nice.  re: hot water bottle, was just thinking how BAD it would be to leak",admiration
1960341449,surprise,annief1,@sallyinnorfolk I have to spend lots of  our money on a new boiler...great!!! Not so lucky hey,admiration
1960346631,happiness,Mkenn076,@EsmeACullen AWWWWWWW you totally rock...I felt all  and now I'm the happiest girl eva!,admiration
1960354292,worry,davidiangray,Enjoyed last night at what I call &quot;real world social networking&quot; -  LOK event in Vancouver.  It was great!.  But headeache today,admiration
1960379746,love,queenofbabble82,"@anijade she was wonderful, did not get to meet her though",admiration
1960383852,sadness,Ran61,looking out window is depressing it is so beautiful out and I am in here,admiration
