tweet_id,sentiment,author,content,dominant_emotion
1956973690,worry,catchtheapple,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,anger
1956976187,neutral,ivoflipse5,Screw you @davidbrussee! I only have 3 weeks...,anger
1956991009,hate,rdyfrde,"@soviet_star Damn, that sucks",anger
1957004749,hate,golden_one,don't you hate it when you finish all your work and there's still 1.25 hours left of work time,anger
1957014706,hate,butteredninja,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.",anger
1957033874,hate,Lilixbabi3,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.,anger
1957043241,sadness,princessniki1,I dont feel good AT ALL. fuckkk,anger
1957044935,hate,helenmurdock,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,anger
1957061884,hate,caitimac,@all_is_one84 Those suck so bad.,anger
1957062783,empty,moikusmanruzuar,@exortabreedoll what happen to the maids of yours? Quit once again? ...,anger
1957085151,hate,josh_kim,@juliaiiivir Hey! That's my school! I hate that place.,anger
1957087780,worry,imma_winner_bby,@pb_and_jay hi!  Fuck your job!,anger
1957089208,sadness,Dannnielleuhh,I don't want her to leave..,anger
1957089708,empty,Jayisfly,wut do i do now????,anger
1957091075,neutral,mmodi93,FC is finally up again. it's about time. i hate that this keeps happening,anger
1957100791,sadness,truebluboy,i hate being sick. i miss @cynthiasheree @lucyowns and @larilync,anger
1957132373,worry,k8turpin,@aannniieee uuuugh  i hate everything,anger
1957133923,sadness,JackieOshry,"I can't sleep, this is so darn frustrating.",anger
1957134969,worry,RebelAngel,"I think im being ignored...by my best friend, jake....a) i hate being ignored. b) we all know how things go with him",anger
1957145531,hate,holleeann91,night 5 not talking to my victor  i'm so bored at night now. grrrr i hate this shit,anger
1957154821,hate,marconipoveda,i just murdered two fucking mouses!!! now i cant sleep,anger
1957156484,hate,dj_melza,"sososo bummed, like really bummed, i hate this rain, ruin my date...",anger
1957160024,sadness,ashthomson,feels like crap whenever she lays down. @)(1+-'$#! I hate heartburn &amp; backaches!,anger
