tweet_id,sentiment,author,content,dominant_emotion
1956970047,sadness,Danied32,Ugh! I have to beat this stupid song to get to the next  rude!,annoyance
1956973598,sadness,username_origin,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,annoyance
1956974706,hate,MavrickAces,It is so annoying when she starts typing on her computer in the middle of the night!,annoyance
1956987600,hate,naterkane,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,annoyance
1956988218,neutral,callatya,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",annoyance
1957019034,worry,monkeylover96,i am doing homework it sux big time maths is the worst!!!!!!,annoyance
1957026475,sadness,annamaurice,It's pissing me off and not letting me follow ericka,annoyance
1957030196,worry,SoSpoiledDatsMe,my twitter has been hacked again,annoyance
1957033776,sadness,vivianenguyen,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,annoyance
1957040172,sadness,kourt_1023,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.",annoyance
1957049167,sadness,theangelicsin,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,annoyance
1957050633,hate,STAR13R,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",annoyance
1957055981,happiness,montanaspeaks,FB is boring   and i wanna sing RIGHT NOW..! *-*,annoyance
1957059917,sadness,MelissaWOOF,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.,annoyance
1957073984,worry,GravesNovels,"Ugh, my internet was down!",annoyance
1957077564,sadness,M_R_Barlow,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.,annoyance
1957078740,sadness,KayLove254,So have a headache right now and it sucks,annoyance
1957084446,sadness,megan901,@nickkk_ that sucks!,annoyance
1957086168,neutral,lpstewie,"@heavyharts that sucks  well state starts tomorrow so im headin 2 bed, nitey nite",annoyance
1957090285,worry,ily_cutebutt,@NOLAevol so i feel like shit for saying HAPPY BELATED BIRFDAYY.. i'm only a month late,annoyance
1957091147,neutral,lilmissmelz84,seriously bored without anyone to talk to... but not tired enough for sleep,annoyance
1957091327,sadness,WeeWifie1981,morning again! I hate mornings. So offensive!,annoyance
1957094989,hate,tonydeanxo,my sister is a douchebag,annoyance
1957095452,surprise,textdrivebys,@fiercebanana there's relisting fees when you don't complete a sale?  that sucks!,annoyance
1957097629,neutral,AGTK,Wearing glasses gives me a headache.,annoyance
1957098983,sadness,joseaqui,"First my work computer, now my home laptop is fucked.",annoyance
1957099375,worry,xntrek,#beer #friday #melbourne #cbd #mtub #mini #cmon Thirsty and lonely ... you buggers are making me feel like a scotty no mates,annoyance
1957104795,surprise,viherrera,I cant use my blackberry today. This sucks.,annoyance
1957105472,hate,hiracdelest,time for tv in bed.Then spending all day catching up on studying  i hate online summer classes,annoyance
1957106609,hate,Anne_A4L,Dang it! I REALLY look like crap!! Sigh only had 35mins to shower and 10mins to get ready,annoyance
1957106916,sadness,jessywuv,So exhausted..can't sleep. I don't like these nights,annoyance
1957111950,neutral,SimpliBeautyful,My nose is stuffy,annoyance
1957115476,neutral,DutchRaymond,@zaharh that sucks!  how old are you actually?,annoyance
1957126765,worry,r_u_b_y_l,god i cant even catch public transport. swine flu is shit house,annoyance
1957131233,empty,miszundastood,Is ANYBODY up? .... I'm sooo bored!,annoyance
1957133079,neutral,sukasukaariska,"Damn, hi Facebook ? what's wrong with you ? can't add photos",annoyance
1957133601,worry,PamiiUngco,@alyssainescruz aww. me too  annoying!!! :|,annoyance
1957145817,hate,Jessicahhhh,"gonna get off to try and catch some Z's, no more high school after tomorrow! which really sucks  i wish i didn't have to grow up!",annoyance
1957147658,hate,MEG_B_johnson,Sooo.....I'm kinda o sick n tired of the bs that guys dish out  !!!!!!!!,annoyance
1957156949,hate,DasutinD,"Working late at night on a Dell notebook, Dell's quality has gone down hill, warrenty service sucks too, poor people  buy a Mac instead",annoyance
1957159693,worry,sshannonlouisee,"so bored, i have a headache.",annoyance
1957164444,surprise,sami_bby,@Jordalynn omg you've never seen 'the Ring' its a creppy ass movie,annoyance
1957164542,surprise,Mel4Zac,mannnn..... @alllyy_ got an iphone!!! im jealous....,annoyance
1957169086,surprise,XxMindyNicolexX,"@desdoulas Ya, the weather has been super weird here. It looked like it was gonna rain today but of course it didn't, darnitt,",annoyance
1957169213,sadness,MEG_B_johnson,Sooo.....I'm kind of sick n tired of the bs that guys dish out  !!!!!!!!,annoyance
1957170232,hate,deenahdeedoodah,"WTF facebook just cleared out my whole survey and i was on the last q, this night gets better and better  what else is next?",annoyance
1957174053,worry,chickman07,"@WTF_JayR oh, i know how budgeting is.",annoyance
1957183149,worry,brandehhh,I just got mad tired so no sex  sleepytime night!,annoyance
1957190983,surprise,n0tin,"It's fucking cold here north now! It was like 77 DF yesterday where I was, here it's 37,4",annoyance
1957197786,sadness,LaurenKayW,@Madush oh my... now im offended.  ha,annoyance
1957199632,worry,turbowanda,Damn i have something to say and no one is listening,annoyance
1957227657,surprise,sarahmars,@hudaaaa eeeeeeeeeeeeee i jealous sia i didnt get to seee,annoyance
1957228023,surprise,heyyitskate,arrrgh. i'm bored. so bored. there's nothing to do except slouch at the computer all day long.,annoyance
1957231223,worry,sylenc,Damnit. I have run out of candy coated books.,annoyance
1957237503,hate,utehbaik,and this stupid wireless wont work downstairs,annoyance
1957241208,hate,LGoodyer09,Have to go to work  typical sunshine and deep sleep; stupid friday.,annoyance
1957242838,sadness,jayTOCIE,@katrinalmoreno and im an idiot for missing their last show,annoyance
1957245396,neutral,gorgeousapg,madd bored,annoyance
1957265830,sadness,TonyPrice1970,"I hate working nights, cos I'm not really able to enjoy this gorgeous weather, as I will be asleep",annoyance
1957266393,worry,Mystical13,The computers and the Ethernet at school are so slow!,annoyance
1957268164,worry,Pinguin98,very very bad headache that is getting worse by the minute not better.,annoyance
1957268633,hate,traceydukes,"@MissMaryJ M Jizzle I need u to Hit me too, ugghh I'm sick of this damn phone! Like seriously!",annoyance
1957278958,sadness,Lourini,In the bus... Almost an hour late because of my crappy alarm clock  should be in Leeuwarden at about 9:45,annoyance
1957284135,worry,CAiTLiN4547,I've had a sore throat since monday morning @joeyawesome...I'm just sick of it hurtin and I want some freakin sleep!,annoyance
1957292653,worry,MariSmith10,thinks its annoying when i keep getting twitter error messages from my mobile,annoyance
1957294470,hate,allysonalfonso,@BrookeAmanda that sucks  what bout kate,annoyance
1957300913,worry,JaffasGirl,is very very tired  just want to sleep.  Stupid work getting in the way!!!,annoyance
1957308122,neutral,skuldchan,"Augh, fever's gone up again. If I end up missing the WeHo clubbing tomorrow night, I am going to be pissed. Stupid boytoy gave me plague.",annoyance
1957314118,sadness,smiles4dayyz,@TerrenceJ106 yooo! Its rainin dumb hard out.,annoyance
1957342606,fun,melmariedavis,i really want a blackberry  my sidekick is hella wack. night,annoyance
1957346593,hate,Jady0903,"Changed my hairstyle,but it isn't good as it supposed to be~~N I don't think it worthed that much money..  hate that hairdresser~~;(",annoyance
1957349765,surprise,gegengerade,Getting rather annoyed at my notebook. I know it's old and has got wrinkles but it's never been this slow before,annoyance
1957361569,sadness,australias,Ugh talk to me someone  I'm really bored.,annoyance
1957361603,hate,rikaisuru,@digicho I'm inclined to think it's stupid.,annoyance
1957364947,hate,ITbarbie,Arghhh So annoyed-yet again gone 2 starbucks &amp; given skimmed milk instead of soy milk!! I can't have milk so hav 2 throw away! Expensive,annoyance
