tweet_id,sentiment,author,content,dominant_emotion
1956968636,worry,mcsleazy,Hmmm. http://www.djhero.com/ is down,approval
1956971170,love,poppygallico,@annarosekerr agreed,approval
1956979894,neutral,lookitsholly,Chocolate milk is so much better through a straw. I lack said straw,approval
1957000788,worry,zpavic,Achieving a new appreciation on how a xml build script can really be painful and cumbersome,approval
1957009666,hate,wendyisastar,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,approval
1957010329,fun,NoteRobot,(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,approval
1957044366,boredom,snoopync18,why did i agree to work a double shift,approval
1957060283,neutral,mizzlizwhizz,@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,approval
1957082086,worry,drinkupgorgeous,"Looks like another sleepless night dedicated to homework. Sorry in advance, Ms. Chapman.",approval
1957089386,relief,DjLiTeEyEz,Headin home...Refreshed my mind and soul justa lil bit...Bac to reality.,approval
1957093471,worry,linercare,Know what would be great? For my shoulder to stop hurting so I can sleep normal again.  I just want/need a few solid hours of good sleep.,approval
1957106132,worry,mandalynsupra,@prime8507 PC I agree...  We have a problem. We must stop spending and only work!!!,approval
1957111072,sadness,awesomeness31,finished a whole box of ice cream,approval
1957118612,sadness,daftapeth,Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun,approval
1957131642,happiness,krazedaise,that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.,approval
1957136704,worry,ms_mary_mac,is going home... I've seriously had enough,approval
1957144266,empty,mandysaster,intentando intentarlo ONCE AGAIN!,approval
1957145383,sadness,brianmcgui,"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today",approval
1957148385,worry,thebassman,"Up early again tomorrow... heading to bed now. I keep saying I'm going to take a midday nap, but it hasn't happened this week yet...",approval
1957149016,neutral,ashleeadams,"It's 4pm Friday, he left at 6am Thursday.... surely he should be there now",approval
1957151356,neutral,cabbruscato,Work at 5:45am =,approval
1957152277,worry,Rianti_W,sooo.... Hot in here hufff.....,approval
1957162853,worry,bexofcov,On my way to nottingham..I so don't want to be going,approval
1957163152,worry,samanthaalyson,I need to wake up earlier so I'm actually tired enough to fall asleep,approval
1957189838,neutral,pas_non,FYI no internets until THURSTAG!!!! after saturday  i have a feeling i will become 800x more productive during those days.,approval
1957189924,sadness,Louie_E,Sitting by myself. Everyone took the good seats.,approval
1957190291,sadness,TimRogers,@sfannah Ahhhhh  Well at least I'm up to!,approval
1957191331,worry,saroqq,Trying to sleep without any pills... Not working. 3am and wide awake. But now it's too late to take them because I'll sleep til 3pm,approval
1957192967,neutral,teiladnam,I signed up for an account on a political website so I could post a comment but it isn't working.,approval
1957194726,neutral,henouk,has an exam at 10am - I slept about 3 hours last night,approval
1957199558,neutral,YOUNG_KC,@CheetahmamiBia oooo ok   why  havent you accepted my friends request,approval
1957206142,sadness,yuetmui,finally accepting the fact that all cute guys are taken,approval
1957225624,worry,ce1es,"meh, almost didn't sleep, ain't finished anything, I'm close to cancel the Dokomi",approval
1957251533,neutral,imzachhh,is up too early,approval
1957262854,relief,KatieSouthie,#thingsmummysaid You need to learn to wash dishes and do laundry because I won't always be here to do them for you. She was right,approval
1957278650,happiness,gorguz_georgie,"i have the biggest headache right now, i washed my hair wif mum's shampoo and now it's gross  i like my shampoo way better",approval
1957280676,empty,fashionsflyest,"Can't sleep, just laying here in the dark",approval
1957286264,neutral,acraigdsa,Got back and putting in the laundry. We got in there last  o well as long as its clean. #DSAA09,approval
1957288483,neutral,RoisinMcK,"I feel like ive done the London marathon, I ach all over",approval
1957293082,surprise,Homebrewed,"@Potato_Chip That's right! I totally forgot. Might not be till August, though    Have a great summer!!",approval
1957293165,worry,sameernanjangud,trying to get a sale in my job...,approval
1957301234,neutral,libster_t,I would of won that contest if I weren't to have chickened out,approval
