tweet_id,sentiment,author,content,dominant_emotion
1956977084,happiness,ktierson,mmm much better day... so far! it's still quite early. last day of #uds,caring
1956980883,neutral,hollywoods500,@benballer  no way! damn that sucks B!  are you ok?,caring
1956995196,sadness,jnvelasquez912,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,caring
1957007357,empty,_SNO_,Have a headache  I'm going to bed. Goodnight!,caring
1957041569,worry,searchformatt,Aww...  Pray for the arroyo family everyone!,caring
1957047828,worry,5Neezy,"Lady across the way had a miscarriage, say a prayer",caring
1957075229,worry,Chassidy72,Somebody please save the polar bears!,caring
1957088574,worry,Chassidy7,Somebody please save the polar bears!,caring
1957110716,neutral,Elliecopter_,"@Giggles_xo   dang it, so its not certain ? ? ? are you okay?",caring
1957132096,worry,Brewhouse94,Very Sad.... please get better Grandma,caring
1957150332,worry,Cherye101,"@4EvaAFanOfPaula hun are you okay? I see alot of your posts your exercising like mad,not eating or sleeping",caring
1957159745,neutral,fearless911,Huge headache...goodnight!!,caring
1957167375,neutral,beverlynoelle,@scumm_boy I'm sorry  I'm thinking about you and hope the week gets better!,caring
1957211180,worry,lovealways343,I dont get twitter  Someone help me!,caring
1957218667,neutral,CallMeKellz,@ANAIZZ you might want to get some rest...i promise you wont retain the knowledge sleepy,caring
1957224368,sadness,omgitsafox,@Saresa And I feel your pain.,caring
1957310177,worry,themaguire,@dopeboySHAKE omg man  i'll pray for ya,caring
1957371472,worry,pixie_darling,@linojoelsap still got one more year with t-mo tho  I might just get a new bb curve. Not too concerned abt apps. Batt life is important,caring
1957388131,enthusiasm,JULINSKI,"worked out tonight, had to work off the Cheesecake I ate todAY. To all the pple who are on a diet.. DON'T QUIT! It's not worth it",caring
1957391983,neutral,KLNY,"@melkoo Hi Mel, if you feel unhappy just take a bit of fries but don't overdo.  If can help it don't",caring
1957422951,relief,lindseywallace,just fed three very hungry stray kitties three cans or tuna. i hope they stay warm and safe tonight,caring
1957449193,neutral,BrittNelson,Sleep. Work tomorrow.,caring
1957479923,worry,MissxMarisa,@Zobi09 I'm concerned for that family,caring
1957499577,worry,katie18O,@Yvette_Maree omfg are you alright?,caring
1957511517,sadness,jhien,"... need retail therapy, bad. AHHH.....gimme money geebus",caring
1957516403,worry,shermaineee,@tissuerose i'm with you in this.  i've always have prob prioritizing myself ahead of him.,caring
1957523187,sadness,mamaVH,"Wee laddie's been SO upset for about 2 hours. Tried soothing him in bed, nursing, etc. Nope. Up at 3:30am for real food. Blue Clues now.",caring
1957530722,love,UltimateLohan,@sevinnyne6126 Lindsay we are your spanish fansite and we love you www.ultimatelohan.org please reply us  I wish you good luck,caring
1957534934,love,VdChiongbian,I miss you sweetie!,caring
1957581930,worry,legendaryTVAC,"actually, i think i'm being mean to her....i feel sorry now",caring
