tweet_id,sentiment,author,content,dominant_emotion
1956972270,worry,sweet8181,I ate Something I don't know what it is... Why do I keep Telling things about food,confusion
1957000152,neutral,RoxieDax,"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.",confusion
1957005696,fun,nickhalme,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.,confusion
1957005817,worry,JBabyLove,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?,confusion
1957010072,worry,tiffalo,why are plane tickets so expensive,confusion
1957020390,worry,Karmenyl,i'm sooooooooooooo confused,confusion
1957044783,neutral,brianalotto,When will Medhurst play again?,confusion
1957046631,worry,Atheprincez,I don't know how ima work out tomorrow wit my body dis sore  ugh,confusion
1957062676,worry,iamsarahkelley,does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp,confusion
1957064177,worry,q_ueenie,my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo,confusion
1957104830,enthusiasm,juliancarter,Q: what studio created 'Open Season'? should google it or look at the dvd downstairs but feeling lazy,confusion
1957115742,neutral,WinnyLengkey,Still confuse...,confusion
1957117307,neutral,Munder11,@officialTila I cnt get it!! its goin to ur old messages?!?  &gt;&gt;&gt;&gt; HELP?&lt;&lt;&lt;&lt;,confusion
1957129392,worry,PuppyZach,"@goddessfleur youre so far away, I don't know what to do....",confusion
1957134278,fun,tractorqueen,My BFF rocking Hotel California now. No @NKOTB songs!  done stay the same. What's next? Hmmm.. Careless whisper!,confusion
1957144247,neutral,FF5Freak910,"dont know why so tired today  bye, time for beddy",confusion
1957147219,worry,VictoriaDoyle,@jordskkk who are the crew? please dont be me...  i dont think it is but i could be wrong i have been a number of times...,confusion
1957150173,neutral,kesoleil,"@_erica Yea, its tough to keep it going. Sometimes I'm not sure its worth it.",confusion
1957157469,worry,metalxhack,Why do none of my thoughts make sense when I'm sober?,confusion
1957162928,neutral,cherylchi,to Chicago... but why isn't my ride calling me back?,confusion
1957175992,sadness,EmptiMind,@heavenlyriot Girls are confusing.,confusion
1957183431,neutral,SallytheShizzle,does anyone know how to convert 6 est to Aus time? ROFL xD fucking radio disney,confusion
1957193022,worry,HalfCentaur,@Sageey My public talk in July got canceled and I don't know why.,confusion
1957205389,worry,jaynedoefresh,@Bam_Hall Is that why you aint answer my call? Thought we were homies!?,confusion
1957218626,worry,v2black,"have to wear my glasses today, cos my right eye is swollen and i don't know why",confusion
1957231863,neutral,murdkipz,I don't remember what i text to twitter to get a list of commands  halp,confusion
1957261926,worry,MrAntony,what am i gonna do when my iphone is full!,confusion
1957265612,hate,MsMac74,But why do I have to spend it in the office,confusion
1957315485,worry,MaryMooh,"@MooNooH I don't understand anything, HELP",confusion
