tweet_id,sentiment,author,content,dominant_emotion
1956977624,worry,alexsnaps,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,curiosity
1956978668,worry,bryancheung,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",curiosity
1956979900,worry,a_schmel,why am i so tired?,curiosity
1956985764,sadness,Samm_xo,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,curiosity
1956996470,worry,ohmygoshnina,"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.",curiosity
1956996730,sadness,Rowch,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,curiosity
1957000372,neutral,cv70,what is it with chocolates? i just can never say no,curiosity
1957003715,neutral,BlaqueBeautyy,"where are all ma bestfriends at ? , MIA or wat ?",curiosity
1957008987,surprise,lilTanker,when da heck will the garage man get here I ask you.. WHEN..,curiosity
1957015475,neutral,WgtnCoffeeCup,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking",curiosity
1957016086,surprise,chrisshennan,Why am I completing facebook quizzes at this time of the morning... especially a friday morning,curiosity
1957033103,worry,sjwilling,"Okay, so twitter suddenly changed, how do I respond to messages now",curiosity
1957035419,neutral,twinkleval,"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?",curiosity
1957039947,worry,Ennjo,@blood_rain i wanna see her hair  hows everyone?,curiosity
1957041856,worry,Kgreenel,@wuzzyangel You never answered your DM I sent you....   I need your info...,curiosity
1957042316,sadness,heartbeam,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie,curiosity
1957046053,neutral,alexandraduggan,@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?,curiosity
1957062827,sadness,SamG2020,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!,curiosity
1957070484,neutral,harempriestess,"@dravenreborn I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing",curiosity
1957075035,neutral,chowcassendra,"GOSSIP GIRL, WHEN ARE YOU COMING BACK  ! chaceeeeeee..",curiosity
1957084165,surprise,FreeBleuDaVinci,@ModelTheany  tee we beefin....what was u supposed to do before leavin????,curiosity
1957086920,neutral,TartyTart,@mygoldmask did you guys keep a set list? I forgot to ask for one  xx,curiosity
1957092921,surprise,Quastbabynumbr5,Extremly deep,curiosity
1957104948,sadness,FMillan,@prncsztalia why do you hate me!?,curiosity
1957105755,sadness,keymistress,http://twitpic.com/663vr - Wanted to visit the animals but we were too late,curiosity
1957125791,worry,flyingspaceship,@zhenerak I thought I was your best friend?,curiosity
1957125863,neutral,PeKii97,HII!! Thatsï¿½meE!! I woke up and I am goinG to SchooL... Why me??,curiosity
1957128448,happiness,PULLINGTEEETH,someone take me to LA  I NEED TO SEE THE LEMON TREE,curiosity
1957133900,neutral,ssabz,"@textdrivebys i dont even have a WII! b likes xbox, so that's what we have  do you use it?",curiosity
1957140078,worry,hannah_bananah2,@thedailysurvey Why do we love those that we cannot have?,curiosity
1957145833,neutral,baneen,@curligirl morning hon. what you having for breakfast? I cant decide,curiosity
1957147399,sadness,shermaineee,how to have a glowing face? my complexion is always so pale,curiosity
1957149571,neutral,a99kitten,@talentdmrripley  maybe a good night's sleep for everyone?,curiosity
1957152425,worry,Jessicalam112,closeness or distance? closeness... but now everything seems so distant...,curiosity
1957168966,sadness,michellequek,Wondering how come mcdonalds take so long to deliver my food.,curiosity
1957176048,sadness,motleydeflep6,@ lyrically_Me   Why would you do that to me?!,curiosity
1957191924,surprise,ceggs,Dogs eyes seem bad. Just forked out on new washing machine so why not a vets bill to top it off eh?!?!,curiosity
1957193010,neutral,UggGirlie,How Come I Can Never Sleep Past?? Not Good,curiosity
1957199401,surprise,Jazzy813,Where is my bestie when i need him @iAmcertiPHIed,curiosity
1957203878,sadness,singingchef85,now aches &amp; chills have joined the party. Why couldn't the cold just go away? It had to get worse?,curiosity
1957208989,worry,Col_RFTL,@HoptonHouseBnB now theres a thought .... do you still get goldfish at the fair ?? not seen them for years,curiosity
1957209385,enthusiasm,Maiababyblu,Good morning my sexy twitter how's yall doing??? I'm gd but it's like 7:49am n I still wanna sleep,curiosity
1957214583,worry,glam_girl_92,@hot30 guys why did paranoid drop out of the countdown?? thats so not fair  iv voted heaps for it!!!!!,curiosity
1957225620,surprise,nancyyeh,Where are all you Motivated/Determined/wannabe sexy successful young professionals!??! I might really have to join a BNI if there is no1!,curiosity
1957227521,sadness,CaptiveHeart,@Jessicaveronica you guys gonna tour with Short Stack again? I missed your last tour  Me friend went and said it was mad!,curiosity
1957228670,sadness,BillSykes,Why are the sinks in hospital toilets so low? Now the crotch of my grey suit is spattered with water! Just in time for Physio,curiosity
1957242104,empty,fresherika,@meeksdigital haven't worked there for a long time but kinda miss it! I miss anna  seen her? i'll prob be in SLO most of the summer! you?,curiosity
1957259425,worry,kasey79,Ok hubby really isnt going to be logging off anytime soon  what to do what to do?,curiosity
1957259948,sadness,Mercs,Wookei why did you never accept my psn friend request,curiosity
1957269942,sadness,_kimberly,@polyap POL! Is this song from a new album? I am really missing out on UdD!,curiosity
1957271323,worry,JEN_LUVS_LA,Why am I having such a hard time falling asleep,curiosity
1957282070,surprise,briBOFA,@valdivia1 what about me?,curiosity
1957284094,neutral,marci723,"@RockedByPickler no I won't honey I got mad yrs to go , why am I crazy?",curiosity
1957291380,worry,IAmLawrence,why does IE have to be always a big problem,curiosity
1957295065,sadness,hellocuppycake,@madeleinelaurin whys your cat in pain?,curiosity
