tweet_id,sentiment,author,content,dominant_emotion
1956968416,neutral,xkilljoyx,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.",desire
1956982605,sadness,Diyeni,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,desire
1956992030,sadness,mafiaman8108,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",desire
1956994067,neutral,lockerhaxor,@thecreativeone I second that. I wish it rained more where I am,desire
1957006725,neutral,andrewjennings,@juneyee i don't think so.  I WANT DETAILS.,desire
1957013723,hate,babygurl0791,would wish the severe migrains would stop!!! doc's prescriptions arent working,desire
1957019556,sadness,JMarmo13,sometimes i wish things could go back to the way they were the beginning of last summer,desire
1957029111,sadness,InNoSenseLost,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...,desire
1957034566,sadness,mara_nerdgirl,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...,desire
1957039894,sadness,TheNewBradie,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D,desire
1957064253,worry,katiebisson,@Kirsten613 oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something,desire
1957064908,sadness,Sh33na_C,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job...",desire
1957066701,enthusiasm,FinIsKing,I want another tatt,desire
1957070871,neutral,Bre_Baby,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,desire
1957080150,worry,drdre07,"midnight cry.. wish the person I wanted, wanted me right now",desire
1957084935,neutral,saurabh,@BusyGod PGPM student from where? I myself was a PGPM student about 4 years back. I wish I could stay one,desire
1957113231,worry,sdrotar,"Wish I could attend E3 this year. But these small events like the NBA and Stanley Cup Finals keep getting in the way.   Work, work, work.",desire
1957130797,sadness,naontiotami,"@askegg I'm sorry, Andrew. I wish there was something I could do...",desire
1957140211,sadness,sammiejo2502,Wishes you had teased me with movie night,desire
1957140584,worry,frenchbabel,I want a new phone  I've seen too much cellphone commercials (,desire
1957143679,sadness,sammiejo2502,Wishes you hadn't teased me with movie night,desire
