tweet_id,sentiment,author,content,dominant_emotion
1956969531,worry,dudeitsmanda,Choked on her retainers,disappointment
1956980972,worry,syl3nt,sucks not being able to take days off of work or have the money to take the trip  so sad,disappointment
1956989601,hate,M0anique,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,disappointment
1956991673,sadness,M0anique,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,disappointment
1956995679,neutral,jmil1733,I'm feel deflated. Ugh. No more dog.,disappointment
1956998538,neutral,jeannicole,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,disappointment
1956998704,sadness,sillynic,Now I am depressed after watching so you think you can dance,disappointment
1957003356,worry,nettlej,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,disappointment
1957006547,sadness,spookychan,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,disappointment
1957008193,sadness,kimchiipanda,but now i have no money for a phone,disappointment
1957008498,sadness,CathyDohling,Too bad the Red Devils.. disappointing to say the least,disappointment
1957029641,worry,jocelleuntalan,"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....",disappointment
1957030545,sadness,faddict,Just found mj mouse flats at DJs. Of course there are none left in my size,disappointment
1957030793,neutral,aeria_gloris,25-man Ulduar is hard...,disappointment
1957032127,neutral,minauderie,"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk",disappointment
1957034202,sadness,JohnnyFiction,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu,disappointment
1957064566,worry,Monica2112,"@kimberly625 hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night.",disappointment
1957064578,empty,samantha_x,went to the beach and it started raining,disappointment
1957074267,neutral,NACYBUL,the week just wasnt the same without an adam lambert performance!!!,disappointment
1957088179,happiness,Halo3Junkie,"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot",disappointment
1957096324,sadness,ether_radio,Gutted that the bathroom still isn't free- early work isn't going to happen  . And I need the loo!,disappointment
1957099758,worry,JayhawkSteph07,I'm bummed that I can't wear my sweet Nike kicks to work.,disappointment
