tweet_id,sentiment,author,content,dominant_emotion
1957039922,sadness,jmil1733,I feel so deflated. No more doggy.,embarrassment
1957048870,worry,jmil1733,I feel so deflated. No more doggy.,embarrassment
1957182827,sadness,v1ncensia,disappointed to know that I got the Silver Award. I want the GOLD award. I hate being second best.,embarrassment
1957336804,sadness,bigenya,"@Meikah Hala, I do not know that one.  Shame on me.",embarrassment
1957460736,sadness,Icykyusya,I'm havin the stupid stomach pain again &amp; again... Today is my outing with SPH frenz &amp; my stomach nvr fails to dissappoint me. Haiz,embarrassment
1957501764,sadness,thatlass,"and I'm so naughty I cant even take my dog, I have to sit &amp; watch how proper dog owners do it, will Brunos life ever be the same?",embarrassment
1957560911,surprise,brookedanielle_,"@ELJmcfly I don't think any of what i just said it true, i just had a rant about mcfly, i cant belive i did that  i feel ashamed",embarrassment
1957630067,sadness,nerdish,Weather is back to being great! Shame I have to wait in for my delivery,embarrassment
1957636784,worry,antorra,stunning business cards! ashamed of mine  http://bit.ly/zpsQo,embarrassment
1958061059,sadness,QuizzicalDemon,"It's a beautiful day outside today, shame I'm stuck in the office with the blinds shut to stop glare.",embarrassment
1958076611,neutral,itsyasmin,Getting really guilty,embarrassment
1958080837,sadness,samf1983,"Loving the weather this weekend, shame i'm back into work tomorrow",embarrassment
1958086944,sadness,LesWalton,I knew I shouldn't have confessed to using phone to look up answers in pub quiz. A shame is now upon me,embarrassment
1958105637,neutral,lynz7302,the weather is good mmm what to do today??? shame working tomorrow,embarrassment
1960193716,worry,Lesmy,@fosforo  shame on me!!!,embarrassment
1960195679,sadness,iconiquemag,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",embarrassment
1960467577,sadness,KPRamirez,"just woke up, its laura's last full day here  Last night we watched embarrassing home movies",embarrassment
1960534684,worry,tenelilli,@happylovesChuck I know. But the second problem being: he doesn't REALLY exist still applies. Shame,embarrassment
1961091917,surprise,chanmaster,http://www.bodybuilding.com/fun/richardchan.htm OMFG this dude looks well 'ard! He puts me to shame...,embarrassment
1961144936,sadness,eleganttragedy,My poor phone is nekkid without its cover.,embarrassment
1961576248,surprise,miawoods2005,Sitting next to a man with a Kindle II...I don't know if I've ever been this jealous,embarrassment
1961655423,sadness,Sweeneykins,"Beer, garden, IPOD, Friday night, shame I've got to work tomorrow",embarrassment
1961828980,sadness,Missi__,thirty minutes turned into three hours. oops,embarrassment
1961831620,worry,Kimber_Ann,"@feliciaodg argh, sorry, he's just been a thorn in my side since we got him. rude, mouthy, etc.",embarrassment
1962022966,neutral,TlNAmarina,awesome i just ruined all my white clothes i never remember to separate,embarrassment
1962114754,neutral,deephouseatl,"If I were an heiress, I would be shopping all day  Kinda bad, I know",embarrassment
1962371928,sadness,hypergal027,Working during graduation. What a shame.,embarrassment
1962404379,worry,kelanjo19,just got home from doing the big shop totally munched out because i was so starving and im at weigh in in the morning oops,embarrassment
1962429047,worry,oaingram,Another interview... Please somebody hire me?! But I'm late,embarrassment
1962576968,worry,eilh,oops i did it again...really shouldnt have.,embarrassment
1962599057,sadness,Miss_Severance,disappointed! I forgot to tweet something really inappropriate @graphicphantom yelled in whole foods yesterday &amp; now I can't remember it.,embarrassment
1963367302,worry,Sabrina7408,Im a bad blogger!! I have not blogged in weeks~ oops!,embarrassment
1963495788,worry,Jovi_Jonas,"@danger_skies  cus it all got too much attention in the end, shes embarrased and i think it just got outta hand a bit poor girl  xX",embarrassment
1963710159,worry,JoshuaTindall,"#BGT Quite an awkward moment, poor girl  I hope she doesn't loose it again.",embarrassment
1963972149,relief,mariavillamizar,"Today, i did't have lunch, cuz wel i embarrass my self with all &quot;school&quot;  ok, FINAL TESTS and FINAL YEAR aaaaa! thanx God 4 That friends!",embarrassment
1964010601,sadness,SethSchmidt,"@photogjack Yeah, the prices on the used market for Hasselblad are not even close to the way they used to hold their value. It's a shame",embarrassment
1964053771,worry,Cherye101,is very angrrry! my FB account just got deleted- WTF??? all my poems I have ever written are on there,embarrassment
1964153650,worry,laubow_,@MegsEggs i know its such a shame  i think they've got a good chance &amp; i hope they do coz they are different aren't they &amp; great :]!,embarrassment
1964378785,sadness,amandafrench,I am very bummed that there are no babydoll or spaghetti-strap tank Three Wolf Moon t-shirts. Love the meme; hate wearing a fabric box.,embarrassment
1964389406,worry,sambhav6,@donotrefreeze THAT'S A SHAME REALLY,embarrassment
1964602839,love,kirstiie223,Annoyed  greg diddnt go through  i guess well done holly,embarrassment
1964618850,worry,marina_xx,what an awkward day. it sucked,embarrassment
1964650211,neutral,geisharocks,@balmainbazaar agree with you about facehunter  embarrassing representation. compare to swedes who all look like they were born stylish.,embarrassment
1964820987,worry,PrizzyG,"14 hours later, I am still too drunk to drive... For shame on me for letting myself drink that much. I am not in peak spirits right now.",embarrassment
1964894600,sadness,SongoftheOss,"@ABOResearch Pleased to hear it, but still I am shamed sometimes to hear what some men do",embarrassment
1964991646,neutral,ebabyt1000,@spacehotel that's so weird seeing your MySpace page without me there! Had to delete my page though.,embarrassment
1965013612,worry,Jennaybooiee,@charrrbabyy I know!!  effing embarrassing! Eff our lives,embarrassment
1965390275,anger,cherry_Ade,seriously why did mum make me eat yeah i have a weird eating habit of not eating all day but really,embarrassment
1965695241,sadness,zero_one,all dressed up and no where to go...,embarrassment
1965816749,sadness,thegerf02,Upset  bout to talk to someone but idk who though,embarrassment
1965868857,empty,hannahkin,heyheyheyheyehyeyyyyyyyyyyyyyyyy noo tokio hotel tshirts im friad omg shame,embarrassment
1965947035,empty,jjbabyMEOWZER,I jus dropped my dog  and im tall.,embarrassment
1965957431,surprise,rahimrahman,It was my fault for leaving my flip-flops outside my locker while swimming at USF Koret but why oh why would you want to take 'em? #R2IMT,embarrassment
1966034114,sadness,Mac4tw,There is a MacBook Pro sitting close by and my poor MacBook is ashamed with it's plastic face and sides...,embarrassment
1966129930,sadness,tempore,"@AwkwardTown I know. I think I'm going to have to miss it, though.  This is when sacrificing money for job happiness sucks ass.",embarrassment
1966167253,surprise,TheCraftPantry,"Soo embarassed I didn't see the tweets I've been getting from kind followers.    I'll do better, I promise!!!",embarrassment
1966230782,worry,tofu916,@TreoBenny ha! I know..I'm very ashamed.,embarrassment
1966279219,happiness,MAMinton,"passed my drivers test! i can drive!...oh wait, i don't turn 16 till october",embarrassment
1966340576,worry,sheslacy,"why did I get airbrushed nude, if soon as i put my dress on it messed it up a little...eerrrr",embarrassment
1966357472,worry,jennybeanses,"@writingforlife You know I am so ashamed. I did not watch a single episode of the new GH season.  I kept falling asleep, so I gave up.",embarrassment
1694255941,sadness,mellowmasher,no eggs today ... shame was looking forward to a egg and bacon sandwich,embarrassment
1694311534,neutral,MattJarryAstley,"Its a real shame that its not nice and sunny outside, it would of been nice to have another BBQ  NVM....",embarrassment
1694422150,worry,conroyp,"@lexia first ripping off the bbc design, now bebo? For shame..",embarrassment
1694587970,hate,alicemcivor_x,gooooodnight  i fully gave up on my english. pride and prejudice. love the movie HATE the book ;),embarrassment
1695548327,surprise,dianabui,"@3milk ahhaha. oh, what an embarassment! stop reading them",embarrassment
1695766921,worry,stylefeeler,@Helmuts hey helmuts!  im ratty if u remember me from scootertechno.. ;),embarrassment
1695882748,neutral,valeriesuet,still a newbie in twitter!,embarrassment
1751713464,surprise,KlaBrost,Oops!  My mom accidentally signed into my twitter account to comment on my pictures!,embarrassment
1751786339,happiness,AngelinaMCole,lucky to be where i belong,embarrassment
1752322372,worry,mrlarrygreen,"@TheDailyBlonde No i am not a mom or dad, hmm well I will forward the link to my mom.  I am embarrassed now",embarrassment
1752962448,relief,mackilovesmusic,first day of work: sucessful  i didnt do anything stupid or hurt/embarrass myself too much...,embarrassment
1753010285,fun,omgitsjamiseal,my sidekick is awkward flashing. oh well. leaving my mommy out her flowers and stuff,embarrassment
1753199223,neutral,Jenice78,I'm realizing I'm horribly awkward.,embarrassment
1753500772,neutral,bopeepsheep,"@msclara in fact apparently I was your first follower, 4 before M himself. Um. *embarrassed now*",embarrassment
1753532336,surprise,MandyPandy32,"@emmacrook Not going to dwell on it. It happened, it's passed. Just a shame as he was so supportive! Such is life!  x",embarrassment
1753650535,sadness,zuppalizzle,"I am the empitome of epic fail, just you know, more epic than fail.",embarrassment
1753775259,surprise,yaseminx3,"@Lindsayslifee goodmornin  as soon as i saw ur pic, it reminded me how embarresing it was yesterday. with oliver&amp;peter. it was fun tho xD",embarrassment
1753775662,surprise,sparklerule,i had a new friend who called himself shame.,embarrassment
1753903426,worry,carastjohn,tomorrow is going to be sooo awkward &amp; embarassing. lights &amp; sounds last night was awesome,embarrassment
