tweet_id,sentiment,author,content,dominant_emotion
1956975927,neutral,mikhaelaela,SoCal!  stoked. or maybe not.. tomorrow,excitement
1956996765,happiness,rarmendariz,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",excitement
1957016697,sadness,fritoleva,Had to cancel wow for now,excitement
1957020702,happiness,HD_Fury,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,excitement
1957029634,surprise,maddy_1212,my gap year is going so quick,excitement
1957029899,neutral,tokyojackson,@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home,excitement
1957031859,fun,KylieMalchus,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though,excitement
1957033043,happiness,carlysialevert,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me,excitement
1957050890,sadness,queenbmakeup,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!,excitement
1957055178,worry,dolphin8772,"got to final table, but....went out third.  Don't think I'll be getting my free seat",excitement
1957055530,hate,TK04,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!,excitement
1957062621,relief,antonywu,"just finished 8 hours of Texas Life Insurance CE tonight, 22 more hours to go",excitement
1957067779,enthusiasm,Maureen12683,"So, I need to make a lot of money tomorrow",excitement
1957072637,love,destinyhope92,@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!,excitement
1957089465,happiness,allanmoran,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam",excitement
1957093069,happiness,StoneFoxapparel,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.,excitement
1957101953,happiness,_SarahF_,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year,excitement
1957102785,worry,TezG,@ashleypratt Oh come on!!! You get next week off and I get next week full of exams!,excitement
1957103842,happiness,triciaruth,"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride",excitement
1957111130,neutral,mustardio,Someone make me a cofffeeeeeee......,excitement
1957116289,sadness,KristenODay,http://bit.ly/3W9w1  NOOOO! he goes for Orlando! OMG  I'm gonna CRY!!!!!!!!,excitement
1957126750,sadness,michul,FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited,excitement
1957143564,sadness,AmieeRC,"off to work now, finish about 9pm  booooo.",excitement
1957146502,love,annabarclay,big day 2day the xt launch was amazing! so much free stuff thanx 2 the edge and telecom! found the phone i want...cnt afford it yet tho,excitement
1957163020,neutral,camiv93313,"K, goodnight! Gotta do Chuck E Cheese tomorrow following kindergarten shots and physical... Bla",excitement
1957181030,love,helefra,"I can't wait till it's Sunday, a new episode of Supernatural but then there are only 6 episodes left now",excitement
1957188950,sadness,G_eor_gia,home from school had the shitest day today,excitement
1957193805,neutral,DMB_,@typicalrouse I would but its like 1800 or 1000+ miles  gas prices are crazy im doing alpine next summer most def,excitement
1957198814,sadness,KatrinaMarieee,The 3d version of Up sold out   regular version it is!,excitement
1957201369,worry,Samm_xo,@Jessicaveronica OMG YAYA!!! we put you #5 please not the end of the year,excitement
1957204382,worry,kalilahtwitts,@MateRiaLGirL1 I won't b hereeeeee. Imma b in georgia  and then I'm off to LA. Grrrrrr!,excitement
1957215920,sadness,foxxy1406,Nite Tweeple.  Tomorrow will be day 25 at work.,excitement
1957223957,relief,vanessaleighh,"@ddlovato, ahhhhhhh so excited for july 21 (: ecxept stupid australia won't get it til like decembbberrrrrrrr  but stilll ahhh! congratss.",excitement
1957224712,sadness,camcamaussie,2orw!!!!! Nooooooo I want to go back to Newcastle!!!!,excitement
1957230570,love,MolliexD,just got Up and going to get ready to go to meadowhall ;) can't believe my internet broke yesterday  GUTTED,excitement
1957262114,happiness,sikat,Watching Jay Leno's 2nd last Tonight show   I haven't gone a day without Leno in like four yearss.,excitement
1957265221,sadness,jeffgrant,Ready to go into work now.  cannot be bothered.,excitement
1957273826,enthusiasm,RealRobMugabe,Dying to get my hands on the Diagnosis Murder DVD boxset but those pesky kids at Amazon still won't deliver to Zimbabwe,excitement
1957284360,happiness,anna_samara,"Heading home now, yay! Was going to buy a much needed bottle of wine to drink with dinner, but my wallet is MIA so no wine for me tonight",excitement
1957288830,sadness,MyLifeInGeneral,Not excited of blowing out another candle today... [as when I was a kid!],excitement
1957336120,worry,KimPhotog,gotta love how im waking home at midnite. dangggg pray for mr. im so jumpy,excitement
1957353147,sadness,AmauryLove,My birthday is now over.,excitement
1957359653,happiness,strybe,"BOOYA!! Sup Tweeps!? Happy inFAMOUS day to you all, off to get it very soon. Can't wait to play, need to find some more time though",excitement
1957365278,hate,MrNokill,@markbuchholz the non-Europers managed to dump the sun here! its gonna be a hot time now!,excitement
1957377238,neutral,k_lala,NOT excited for 32 people reservation in the morning  damn LOVIN halo3 right now for sure too,excitement
1957382211,surprise,tortoiseandkare,"wowza, only the second tweet of my entire trip and i leave in 3 days   but first - BLOW UP SF TOMORROW NIGHT!",excitement
1957391156,neutral,RachaelBrannan,excited for YSJ Summer Ball - I wish we had one too,excitement
1957403743,worry,TomnomsPrincess,Off to get ready for toms..  gotta go make sure he's not done anything stupid  ill tweet later.,excitement
1957421539,neutral,catiecait,"I'm going to see Le Mis tonight. - myonlysanction: ugh, so jealous. aw  im a sucker for musicals, but i... http://tumblr.com/xtl1wb089",excitement
1957429200,worry,samslam,is ready for a productive friday. one of the last of the year,excitement
1957431489,worry,OpheliaPunk,@minauderie @oxygen8705 Totally broke is right. I have to wait till Monday to get paid though! BOOHOO!,excitement
1957445117,worry,emliqua,start work 2 moro at 6:30.  not looking forward to it,excitement
1957451999,surprise,richsarge,yay it's friday... hold on I have to work tomorrow,excitement
1957467935,hate,Jullyna,So damn tired! Another long day trw!,excitement
1957472022,worry,ZombieBoySam,Just checked my bank balance. I spend like a millionaire despite the fact I am nowhere near as rich as one.,excitement
1957482102,fun,Galiiit,@twebbstack nuhhhh no info on ticketek yet  Heaps excited though! I dont care how much but I hope it isn't too much..,excitement
1957482294,love,_trisha,im finally going home but didnt get to finish all my work  so ill be back tomorrow,excitement
1957483606,neutral,throg,Oh cr*p ... Placebo tix and Tori Amos both go on sale at 9am. Anticipating hot cake distribution of both.,excitement
1957483655,relief,gilmanjunkiez,Happy belated Birthday to Billy!! I forgot to say that on his bday.  I  feel aweful!,excitement
1957487203,worry,nikki_marion,seriously getting hurt.... 4 days before nationals.. what a joke,excitement
1957489961,enthusiasm,loveli,can't tell you how thrilled I am to have just had a nosebleed.  first time in ages.  overjoyed doesn't cover it.  urgh,excitement
1957490526,happiness,bet33,"@ykesha2001 yeah, I also had to do a paper.. I only have one more final left: algebra.. &amp; I take it on my birthday!!   (june 3)",excitement
1957492349,worry,Naibabi,"@dawndela yeh still have the weekend, but I get weekends anyways, today is my full last day of vacation time",excitement
1957520247,fun,BrewGirl,Planning a road trip down to San Diego- With a detour into Vegas to celebrate my birthday! Too bad it's 7 wks away  I want to go now!,excitement
1957520614,worry,Gavin_Morgan,Going to be a strange weekend. Probably srtarting off with working til midnight tonight,excitement
1957523936,worry,Mnemosyne,I've got a dentist's appointment soon!  The drill feels like I've got my brain in a blender - not looking forward to it,excitement
1957546463,sadness,VeraxDoll,I was looking forward to seeing @PapaRoach in Raleigh (fan for 10 years NB too) but scalpers took the tix and sell them for $200  morons,excitement
1957574114,worry,MakeUpByBrooke,@MakeupGeek I am soo excited about your pasadena seminar...if only i can find the confermation email,excitement
1957580027,neutral,Alysiaisgay,Ah this is getting to me,excitement
1957584587,sadness,Rachelfurner,Just wrote lyrics to my new song exciting!I slept on a full stomach again it's the worst feeling waking up and still feeling full  euggh,excitement
1957595665,relief,ColumbusPirates,we are looking forward to daddy returning from work on Saturday. He's been gone a whole month,excitement
1957595823,hate,ginaflemmen,"@Sihm and the &quot;fuck  &quot; was because I dont get my gift!   I was SO exited about it, and it was sooo awesome...",excitement
1957598181,love,ohthedotty,"@KarenAnn_P i'm so sorry about that  i was really excited about it too! but i might continue posting externally, so fingers crossed!",excitement
1957599143,happiness,laurakendrick,job centre bound. oh yay.,excitement
1957612378,happiness,amienguyen,writing report cards  soooo tired but what an amazing day. check it out on fb soon!,excitement
1957623666,worry,sk1995,Hear @jonasbrothers full album preview during todays webcast!  #jonasnewsongs NO WAYYY I couldn't 'tune in',excitement
1957625271,worry,nadiaishere,Busy.. Busy.. Busy.. :S Wont be on Ning for few days.,excitement
1957639945,fun,_ilovefashion,I wanna see the Jonas Brothers in concert..,excitement
1957640993,worry,Mariine90,"Tuesday, Wednesday, Thursday and Friday = EXAM !!  wow shit",excitement
1957641284,relief,GuvnaB,Today is my last official day of Uni! No more balancing uni work with music!!!! Til october atleast,excitement
1957648204,worry,nickcatal,the @collegedems 2009 convention ( http://tr.im/mLvw ) doesn't look that great this year  - going to vegas then sounds much more fun,excitement
1957657457,worry,merkayla,"always tired, always cold and always have a headache.  cant wait for vacashun..and the frickin g1 update..i want onscreen keyboard dammit!",excitement
1957669715,surprise,GeoAtreides,"Uuu, am din nou PR 4. Yeey, my epenis is now bigger! ... ... ...",excitement
1957672283,worry,EmeraldDiscount,@christineduggan we keep getting pet days  but i heard the weekend is to be fab !!! wedding how soon again ?,excitement
1957673482,happiness,redraccoon1,Will be flying to Ontario in 4 hours!Will probably stay awake.I will be there for a 8 days...Camping 4 the first time YAY!I am sleepy now,excitement
1957681266,neutral,akihabara_edo,wonders when all of these end... hay...  http://plurk.com/p/wy9wi,excitement
1957684033,happiness,Moonanet,"Mooorning! It's Friday, and that's terrific! Smile up!    :-|      :-D",excitement
1957684648,worry,OCchaleee,gotta get up in a few hours...booo  gooodnight!,excitement
1957709225,happiness,cuteXpoison,watched the Bones finale last night in the UK &amp; it rocked!! oh how much I missed Zack!!!  @EricMillegan is so freakin' awesome &lt;3,excitement
1957715674,worry,in_the_air,"@JulieAdore I checked ULCA, they've got a program in producing, I'll be so much interested in. But....",excitement
