tweet_id,sentiment,author,content,dominant_emotion
1956991723,worry,briwyatt,ahh! big scary bug flying around my room!!!!!,fear
1957002923,worry,indpndentgirly,My head hurts so bad I could scream!,fear
1957006245,sadness,bella_facia,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.",fear
1957017610,neutral,thetoughsams,"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",fear
1957021486,hate,karissaferg,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,fear
1957023263,hate,youulovemee,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",fear
1957037860,relief,oh_slc,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha",fear
1957045395,sadness,DudeAsInCool,Have to go to the dreaded DMV tomorrow,fear
1957114904,worry,bookiedee,@meghanwong don't think i can take a needle. watched a horribly gory short film on drugs a few months ago. i'm scarred for life.,fear
1957116742,surprise,INKDMOM,@MyCakesRock  AAAAAAHHHHHHHH !!!!!  SOOOOOOOO SWEEEEEEET !!!!!!  I miss that age ..... SOOOO MUCH !,fear
1957149586,worry,ellentai,farrrrr . pdhpe assignment due next week and have english homework !,fear
1957151134,worry,avinashmeetoo,@carrotmadman6 What happened? I'm afraid I missed a large part of the story,fear
1957169132,sadness,Ndege,"@kenyaimagine ... much more injustice than we can imagine now. It will get worse before it gets better, I am afraid. No doubt here. Sorry",fear
1957183352,boredom,shandatru,"THIS TWITTER SHIT BORES ME, NOW I C Y I HAVEN'T BEEN ON HERE IN A MONTH",fear
1957227127,worry,jadedlioness,"Awake, no migrane (yey) but tummy is hurting, evil IBS",fear
1957252272,worry,patep34,worried about Mr. Socks tonight.,fear
1957276419,hate,xcherylax,This train is so squeaky its givin me a sore head its bad enough i have to go to work!,fear
1957302206,neutral,julialeft,Poltergeist! In my house,fear
1957317577,worry,Widdlweed,"Good Morning campers, I'm not a happy bear this morning, had an awful dream during the night, &amp; am v worried.",fear
1957351082,worry,magicswebpage,Oh no.... Trouble in paradice,fear
1957360601,worry,JordanWednesday,Scary guy on colbert...,fear
1957364677,neutral,AnalAmanda,"I had a horrible dream  it had to do with a scary face, now im awake for the rest of the night. God dammit :\",fear
1957375661,happiness,ciarafegan,Is dreading going to work  BUT....its friiiiiday!! whoop!!!,fear
1957376888,worry,patriciannroque,@kyluhtoots oops. Cy's place is too near. Trouble for me.,fear
1957378228,worry,Fredtechno,my internet income project has got a BIG problem today.,fear
1957397407,worry,dazb,":| Yikes,  ants are everywhere in the house.  Ants scare me",fear
1957403754,hate,tamodom,woke up from bad dream.  grrrr,fear
1957404489,worry,dj_bubble,anticipating a tough day ahead,fear
1957433026,worry,chefcutie,not looking forward to dress shopping tomorrow. so afraid there's no way i'll be able to get what i want,fear
1957444758,hate,rarrkun,@dragonflyeyes nick's voice still makes me wanna kill things,fear
1957445896,love,Joseph1391,Ok so I did shed a few tears watching the preview for next weeks Medium. I'm so scared. I'm so addicted to this show. I love it,fear
1957446539,worry,DarthGraham,Having horrible nightmares not gonna go back to sleep,fear
1957475954,worry,UltraSub,Jeez! Little one is seriously constipated. Don't know what to do anymore. Anyone tips? It's terrible seeing him in serious pain,fear
1957482834,worry,amy_carol,Can't sleep...so I'm watching HGTV. I'm afraid infomercials are about to take over,fear
1957504984,love,BeesLikeZeebras,@BK_II It's foggy here,fear
1957508686,love,RebelxRebel,@albamayo...I just posted my First video... A contest entry and my still is terrible too  boo...luv ur videos btw. Xxxrebelrebelxxx,fear
1957540985,sadness,Dreamm,Y AM I STILL AWAKE!!!! SMH.... THIS SUCKS!!!,fear
1957558782,worry,cheer_babe2013,Can't freakin sleep and i have a horrible stomach ache,fear
1957580450,sadness,galaxydazzle,@binncheol  I'm afraid so. All tour I have had people refusing to believe that I am anything else... Irish all the way.,fear
1957593179,neutral,EMMALPN,had a horrible sleep + in a rather bad mood,fear
1957608118,worry,alicekazam,"holiday time | got my grizzly bears cd, bit it wont read  | adventures tomorrow | swine flu is scaring me | i still have a cold",fear
1957620391,worry,amoorejones,Have been feeling very sick    had day off today... ARRRGH,fear
1957629319,worry,rosiemint,"Has horrible toothache, and had only a wink of sleep  xx",fear
1957630903,worry,susieblake2002,In trouble - I haven't finished reading Crow Road  Book Club's off for me today I'm afraid. Lazy mare.,fear
1957639804,worry,Overcast,@ApDiggles That was a horrible day.,fear
1957640730,worry,polyboyjt,"feels very, very rough!",fear
1957674594,surprise,ashleigh_03,has just booked her appointment to give blood 18:20pm 2nd June! Scared,fear
1957674693,hate,barbsrad,"urgh, my head is banging.",fear
1957704700,worry,SallieBMcFly,that was terrible...,fear
1957709186,worry,icyblue93,The test today was killer. I didn't even manage to finish on time.,fear
1957711658,worry,3Easy,"@pete too early I'm afraid  op to take screw out week Tuesday. The family will going off, I'll me looking fir that Guinness ;)",fear
1957745036,neutral,40shadesofgrey,"epic writing fail, ew. going to try and sleep",fear
1957762018,sadness,jen_0523,I can't sleep!!  epp someone is awake and it scared the crap outta me!,fear
1958057287,fun,tammywammy,@Moyo88 oh no! I woke up accidentally.  how can we get you to fall asleep? Should I scare you with P2 or P3 stories? JK!,fear
1958066799,neutral,_China_Doll_,Totally just skid all over the road.,fear
1958087866,sadness,keiligirl254,I had a bad dream an now i cant go to sleep   KEILIGIRL254,fear
1958092948,neutral,rachyroo91,"never did sleep last night  feeling horrible today, time to call work I thinks...",fear
1958111217,sadness,okwithmydecay,@spotibot I am afraid you've had a bit of a #fail as the last two recommendations aren't available in the UK,fear
1958119955,hate,special_noodles,"@lordlucan i had terrible trouble with 'sp' words as a child, would drop the 's' pider, pade etc, needed lessons. bad memories",fear
1958127215,worry,emmao414,"@davidbaillie they are evil mean people, who hurt you. I have a terrible phobia of dentists, but had toothache from hell this week",fear
1958127480,worry,JessicaJuliana,I just had a horrible dream.,fear
1960123769,relief,BrookeJasmyn,Losing makeup bags is TRAGIC...luckily I keep 4 in diff places but I gotta replace my Bare Escentuals  *tearrrrrrrr*,fear
1960125938,sadness,desireefoo,"School is going to be absolutely horrible today. Peace out, '09",fear
1960133001,worry,Hellopanda_,"this is horrible. lauren cant go out no more. and arghhh, i really fancied going out tonight. looks like a day and night in. grrreeaaattt",fear
