tweet_id,sentiment,author,content,dominant_emotion
1957002773,love,UncoolRockstar,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far",gratitude
1957034289,hate,kimba1bl,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,gratitude
1957045940,worry,dzgraphicdesign,@SharonHayes Thank you for the rec but that doesn't work,gratitude
1957098844,sadness,YoCorina,thank you @ddlovato (: cant wait!!!! ummm btw ima crash still sick,gratitude
1957112696,relief,Zensunni,@charlieboy808 thanks for the rt and sorry about your new place with the domestics,gratitude
1957117458,love,Bill_Hudson,"good time Rocking out @ open mic, thanks 4 all the love n support. Now working on Business plan presentation. No CG again 2nite",gratitude
1957132647,surprise,CHWong,"@pastorpeterko Hey Peter, thanks for the follow. So many Sydney pastors tweet!!! Shame no Bris pastors are on Twitter; we're behind.",gratitude
1957160829,neutral,flynnister,its only 0.2! Just give me my 3 points!,gratitude
1957166454,surprise,TeamEdward6,Josh just called me a big bucket of ugly  wish me luck for my audition tweets!,gratitude
1957213189,happiness,SoulAfrodisiac,@BevJack Babes it was sooo much fun!!  Thank you so much for making that happen!  Had fun with the ladies too!  Time went to fast.,gratitude
1957350007,worry,amy__xx,@galaxydazzle okay thank you! i can't find it,gratitude
1957363721,relief,BrentLauren,"@AroundHarlem that reminds me, i need to pick up a mask 2mrw. Thanks  I prefer not to take meds because i will b addicted",gratitude
1957378778,hate,JuwalBose,@AravindJose thanks dude. Being a low level business man its hard to get normal credit cards..also our place is not listed with any bank,gratitude
1957387163,happiness,tetradian,"@rettema &quot;might be interested&quot; - thanks, I was: I came, I saw, I winced..  too much like Flatland http://bit.ly/12f0y",gratitude
1957398677,sadness,danyella5,@love2reed thx girl! I just now woke up! I cnt believe I'm sick!! Now I have a fever... Wish I could pound nyquil  This sucks.,gratitude
1957425914,worry,louiethecat,"@Debblues didn't know you folks were there, sorry.",gratitude
1957434742,sadness,raveninorbit,"@overshootTV Thx! Old computer here, too slow for both Kubuntu and Blender really.",gratitude
1957500630,fun,alpha1736,@Knightpkf Yay! Thank you.. Feels like ur yelling at us   LOL,gratitude
1957538752,love,UltraSub,@IljaCoolen Thanks! Just used a therm to pry it out. Was like concrete! Blood and everything!  He's doing a lot better now. Thank god.,gratitude
1957573854,worry,nstefan,"Thanks those who have clicked :p Well I think I did something wrong, it's still at 0 visitor, 0%.. maybe I need to reinstall everything",gratitude
1957599931,happiness,renekreijveld,"@hilsatlvsonline Thanks for the tip! Unfortunately a major crash in my https site, just as ExtPlorer",gratitude
1957655552,fun,sarahjanelopez,"All alone in this old house again.  Thanks for the net which keeps me alive and kicking! Whoever invented the net, i wanna kiss your hair!",gratitude
1957665404,neutral,Jewel_LiA,@Lucalexa thanks  scared of dentists.. looks like I am going to have to get over it and go,gratitude
1957690758,worry,isafailure,"@AlexMaza thanks for the follow! Isafailure was supposed 2 b a team thing, but my friend hasn't emailed me or communicated n 4ever",gratitude
1957722577,love,iadiedee,@Nasnous Thanks bro but I'm awake already  How are you?,gratitude
1958055789,neutral,jenniewhite85,@atlumschema thank you! need to pass my test first,gratitude
1958057797,sadness,Jane_Howitt,@paulshadwell Thanks for trying! Done just that and no good  If I can't fathom it I'll take it to Apple Store. Sigh...,gratitude
1958058379,neutral,evilwallpaper,"@pickassoreborn thanks, now its going to rain all weekend",gratitude
1958090013,worry,sleepingforest,@johan__ thank You! I almost forgot hoe to type on the keyboard how long I was anway from my PC..,gratitude
1958096366,surprise,philipjohn,@calvin141170 If it's any consolation I've had to abandon the back garden thanks to my super-reflective laptop screen,gratitude
1958103225,sadness,1001100,"@AdamBien good luck. An me waiting that they are online, can't be in #JavaONE this year",gratitude
1958109417,neutral,DateMeCT,"@nawty I've been well, thx. Just getting up for an early morning meeting and wondering why I agreed to it. Don't like getting up early",gratitude
1960149051,happiness,tjw100,@mselliott09 hahaha thanks for clearing up the,gratitude
1960158106,sadness,weiseldog,@WerewolfJacob Thank you for the shout out..when you get time to chat with me come back! I miss you terribly,gratitude
1960211444,sadness,Sobk13,@mycaricature My pleasure and sorry to hear about the pollen thing,gratitude
1960252350,happiness,ciutank,Raining...  I missed the rain so much...  I am grateful for it ;),gratitude
1960299634,neutral,kabeza,arriving at itexa. Lots of mails to read and some work to do  thanks god weekend is just here,gratitude
1960430973,neutral,MelRoc7,"@hookbill YAY! Thanks for the #followfriday. #FAILFriday is still winning, though.",gratitude
1960446097,sadness,Caz297,Its time for me to pack up at work now and have not had much time for twitter!  Thank you for any follow fridays. Be back later!,gratitude
1960458524,sadness,angelcano,The CD  player in my car is broken.  So much for listening to my Kidz Bop Happy Meal CD.,gratitude
1960466081,happiness,rosagil,@Xanthetwirls I only saw urs by chance. Who else would have that name! Think I'll b missing 2nite too.  Thank god for YouTube.,gratitude
1960510606,empty,ComedyQueen,@Dojie oooh lush. i cant sunbathe i burn way to easily even with sun cream  @sofisticat im great thanks lovely sunny day no?,gratitude
1960514520,love,Anddh,"@mockingbird_ I'm good thanks! Did you have a good drive? Careful with your blackberry, we don't want you getting screamed at",gratitude
1960530621,worry,flavorschannel,@RiceBunny cause my eyelids are not deep set.  thanks it would help me a lot.,gratitude
1960559262,sadness,UsborneJody,"@AndresHenriquez thanks for the #ff shoutout -you stuck an extra e in my username tho, so the link doesn't work",gratitude
1960560891,sadness,ballerina1928,thanks gourmetcook! But cold shower wouldn't help.,gratitude
1960564940,worry,RoxieDax,@Blue_Rose *hugs* thanks. I don't know how I'm going to fix this if I'm ever going to get my account back.,gratitude
1960574654,neutral,jnield,@arulnick I tried that but I can only use import/export for contacts saved locally on my Outlook. Thanks Though,gratitude
1960580941,worry,CASBAD,@workingmoms thanks he got hurt Wednesday and going to vets today,gratitude
1960608296,happiness,_ilovebadgers_,@filthydukes _yeah thanks for that you pair of gits  (hope it's mega- like the bus!),gratitude
1960619920,love,nwoidaho,"@karleemay Thank You, Sweetie. I just don' understand how people can be mad at me for something THEY made as a choice in life..",gratitude
