tweet_id,sentiment,author,content,dominant_emotion
1957001854,fun,Samiijoo,RIP leonardo. You were a great mini fiddler crab,grief
1957087793,sadness,Quastbabynumbr5,Missing you all deeply,grief
1957091372,sadness,ambieshell,bed bed bed @samuelasanders do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day,grief
1957199368,happiness,kittykatorphan,"To all my friends: Im deeply sorry i'm moving, i will miss u all so very very much!",grief
1957468844,neutral,HollywoodMaxi,I need a present for my mom.  Could anybody help me ?!,grief
1957472514,worry,amzneric,"missing my man, two months is so long to not see him",grief
1957509110,worry,Ladybirdd,"I seriously hate my life: it's currently 2:42am, I have 3 finals tomorrow, and have not slept a single second",grief
1957571904,worry,KrystelWilde8A,i miss you soo much,grief
1957633103,worry,JesStar619208,@ColeyRenee I miss you terribly,grief
1957654937,neutral,claudiatweets,@joyeuxmort Miss you too  tomorrow is friday...the day we usually just lounged around trying to figure out what to do,grief
1957759566,worry,DJLORi,"@theerealfdhc OMG, my regards to ur nephew. I'm sorry for ur loss",grief
1960451378,sadness,chelseakent,going to funeral today for friend and classmate who died in a car wreck last Friday,grief
1960752399,worry,MDMacapinlac,"@leilaanasazi: I'm sure lots of that studio equipment was collected analog stuff that can't be bought anymore.    seriously, condolences.",grief
1960993456,sadness,DEBLACKWIDOW,RIP to officer Edwards. May GOD continue to bless his family. What's up wit cops killing cops. Seen the same thing happen on &quot;The WIRE&quot;.,grief
1961136541,sadness,benhayman,My computer died,grief
1961151596,worry,AttainTraffic,RIP Omar Edwards - Killed by friendly fire in NYC   http://bit.ly/jrM6v,grief
1961217929,sadness,veehot5,Aaaaahhhh.... Friday!!!! but.......     Funeral at 5,grief
1961286197,sadness,MD_2389,"It has been 24 hours now, since I had my dog put to sleep.  RIP my old friend.",grief
1961293583,sadness,tanyatweet,"Gus, formally known as world's ugliest dog has died  We'll miss you, Gus http://bit.ly/exjcn",grief
1961544729,sadness,wardenofscience,Was talking to Vincent  Miss him so baadly.,grief
1961617451,sadness,scotsullivan,because I just lost my first Field Notes notebook 6 pages before filling it up!! RIP  #fieldnotes,grief
1961618176,love,misslaydee86,Just looked at the date...today the one year anniversary of my Grandmother...miss her mane   um sad,grief
1961698021,worry,Sifichick,Rest in peace Sheeba. You will be very missed. I'm off to go cry now.,grief
1961754345,worry,sshewan,sad today...neighbour taking down beautiful willow tree,grief
1961756472,sadness,mathrisk,michael scholfield is no more. He is dead. I am sorry,grief
1961766566,worry,hanishalim,missing loverboy so much,grief
1961831628,worry,twentyybel0w,i just saw a bird slowly die right next to me,grief
1962190322,neutral,MahouKame,@Madrox My condolences.,grief
1962244218,surprise,nandinih,Found out that a schoolmate died of an heart attack this morning. He was barely 35  will miss u bally!,grief
1962476801,worry,Jade0417x,"feeling sorry for Ian. He broke up with his gf, i feel reali sad cos he feels down!  wish i can give him a huge hug right now",grief
1962737571,worry,stylemefamous95,"Oh, today my friend goes to USA! , Iï¿½m going to miss her so much!  , have a great time darling",grief
1963002813,worry,ali_gator13,@arian_marie i'm so sorry to hear about your loss  my thoughts and prayers are with your family in your time of grief.,grief
1963104866,sadness,thedessie,@shi819 my gaming thingy. Mine finally died after 5 years. RIP.,grief
1963106014,sadness,kvwhitten6,Yea baby!! Im gonna miss you so much,grief
1963157926,sadness,dymondbaby101,happy and sad  may her soul rest in peace,grief
1963202918,sadness,LedZepeatles,Saying good bye to ronald today was difficult and sad well miss yuu!,grief
1963271657,worry,remaxatlanta,just found out that my husband's grandma fell down the stairs &amp; is at the hospital with several broken bones...praying hard!,grief
1963364396,sadness,letsgotilsim,"im very tired,bored and sad.what a great evening!",grief
1963424826,worry,TRob55,Working.  I can't wait till 4:30. Funeral on monday.,grief
1963498385,surprise,peejles,omg...did I just see a tweet from Miss Bonnie??? amazing...my phone died yesterday...and oster has alltel  I miss you,grief
1963570143,sadness,unexplainable__,the BEST day ever. I met the greatest 10 year olds. but i will never see them again.. AHH. i'll miss them (i saw them 1 hour xD) SAD,grief
1963785799,worry,sexymonster626,"sure miss Chick, tho...may he RIP!",grief
1964208340,empty,ActiveForever,"@thirstyfishinfo Speaking of fish, our company fish just died  RIP Julio",grief
1964541637,sadness,RawrBunny9,miss him way to much... just cnt stop thinking of him   nite nite folkkz...,grief
1964586223,worry,Dianaaaaa,"wow my grandma passed away....I'm too sick to even think, I know she's in a better place now",grief
1964774911,neutral,RickKlaw,ipod died today,grief
1964872212,fun,oaksfanJan,"@oakridgeboys Think these little youtube's are cool!! Prayers, my dad admitted to hosp. this am, n/sure what problem is yet, maybe heart",grief
1965258463,worry,socalgirl90,@TattedHairGuy I'm sorry to hear about your uncle. I hope you're okay!,grief
1965266990,worry,Doulamama,@Christe1 So sad. Your mom must be very shaken up. Peace and strength to her and the dear family that lost their little girl,grief
1965312469,surprise,Flash_Forward,Poor dead Josh.  http://bit.ly/JKpHn  Please leave your messages of condolences there.  #boy #rip,grief
1965570758,sadness,slugyO,i miss my baby  hateeeeee it,grief
1965580509,sadness,uni0000,going to the memorial for the guy in my grade that died.,grief
1965595666,sadness,sophieforchuck,RIP Big cup... I will miss you,grief
1965599722,love,CarolAvila,@annamessias i miss yoooooooou my poia,grief
1965721435,sadness,kxrinx_fb,last day of school and last concert of my life.. wow.. can you say emotional? im really gonna miss mhs..  had graduation practice today..,grief
1965843170,worry,DawnofOURnight,@itsgabbith hMm well at least you got them out! Sorry about it though  wish you could keep them in!!!,grief
1965947714,sadness,stelllarshannon,he was the reason i lived and now hes the reason im begging to die,grief
1966036762,worry,holioli,Just found out that Anne's brother died unexpectedly - he was only 44.  Warm thoughts going out to her family...,grief
1966069017,sadness,xoxmillyxox,I feel sorry for my bestie  good luck ali!,grief
1966094491,sadness,janellecaminker,"Grandma Caminker passed away today.  She will be missed, but may she rest in peace.",grief
1966311574,sadness,carlykennon,My dog died today. We had her for 11 years. I miss her so much.,grief
1966317757,worry,walkerman18,Sorry that your tummy hurts deathbyhistory  i got a tattoo like half an hour ago!,grief
