tweet_id,sentiment,author,content,dominant_emotion
1956967696,sadness,coolfunky,Funeral ceremony...gloomy friday...,joy
1956967789,enthusiasm,czareaquino,wants to hang out with friends SOON!,joy
1956984205,neutral,chicabajoelsol,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,joy
1956995852,neutral,ErikaAlexxis,Well it almost was a good day... Guess I just retry tomorrow,joy
1957006074,neutral,rnbprincess79,fun in the sun hmmm hell no it's cold,joy
1957013149,neutral,cheeseyy,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!,joy
1957014517,neutral,dalastmil62,@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,joy
1957032051,neutral,allieeeec,@princess_oats this is happening to me too,joy
1957034434,neutral,dawnoftheprawn,"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips",joy
1957035564,happiness,rondhi,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,joy
1957052211,neutral,echothirteen,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her",joy
1957074214,worry,nurulz,is feeling so giddy and wanna go home.,joy
1957086444,worry,steveapple,"Looks like it's going to be too nice to work today, how annoying as I have no choice",joy
1957090643,sadness,synerje,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end...",joy
1957095604,neutral,Spigrrl,@eCheers Random has an a,joy
1957112843,happiness,Cecekc,"Ok, other then my shoe, the club is cool. Its fun, and its poppin except 4 the ppl tryna dance wit me",joy
1957120823,worry,koenvroom,"back at school again. almost weekend. oh wait, i gotta work from eight to four tonight",joy
1957123469,worry,billydrag,"At Rocky Cola Diner in Whittier tonight with teacher pal Mr. B, we had a great time chatting but no one else came...",joy
1957124444,fun,fangirldak,@JetWolf I know I enjoy watching you two on twitter. About as entertaining as the comic.  That I miss,joy
1957135976,sadness,Leslieloks,Not feeling too good,joy
1957137171,enthusiasm,dancer2techie,@leopardqueen @seekinspiration Have fun! I miss you guys a lot!,joy
1957151886,fun,xdetergentx,"creeped it up at the ice cream social! good times. lars and the real girl, such a sad movie",joy
1957168110,worry,kin_meng,I am dying to hangout on a Friday afternoon...,joy
1957173062,sadness,kevintuk,what a beautiful day - shame I've got to spend it in an office,joy
1957196056,love,sandrawheelis,"Trying to learn how to do this &quot;twitter&quot; thing... I'll get there. Welcome to all my followers, though Im not that interesting",joy
1957216446,sadness,AlenaSerrano,@JasmineCJones  I was just thinking the same thing! I love our morning chats! We totally need 2 live 2gether full time. Lol,joy
1957218733,worry,cupcake_kayla,@lizhodgins I heard your moving to Sydney next year im not happy,joy
1957220173,worry,kimmiecubaby,happy to b home .. then my mind wanders an I can't sleep,joy
1957224360,sadness,Reggiekc,Had a awesome time 2. Got2meet brandon rhyder! Unfortunatly i can't sleep n tomorrow.  back 2 the ole job. @pattymlt got my game face on!,joy
1957225139,relief,Sept7th,@kimberlymdg I had fun tonight! I'll leave you with this...Brandi Carlile will be in Dallas today.  We should just sneak into the show!,joy
1957249003,relief,sharris11,"missed all the awesome weather, because she was in a movie!",joy
1957257295,happiness,tunatweets,I miss the concert Tuesday already. I'd really like a time machine to go see it again... It was so fun...,joy
1957257361,worry,JOscarG,"Home early, yeh! work to do over the weekend, $%$#@!!!! not happy!!! so much 4 a big1",joy
1957259101,love,Weapondrift,@cheri two macaroons go into a bar....one says oh your a nut.  wow I need to get out more.,joy
1957263518,neutral,shoptilldrop,i sooooooooo dont want to go to work today to nice outside.,joy
1957269141,worry,postalidol,Here at work having lunch. A lot of work and not enough help,joy
1957275711,sadness,abhishek_karna,"Mom asking if I'm feeling better after dargah visit. Dad swears he sees +ve &quot;change&quot;.  I am amused.   But yeah, still depressed",joy
1957303396,neutral,lmvc11,@Joseph_KHC wooow. lucky XD my break is gonna end. my classes starts @ june 4,joy
1957312977,sadness,joliverfan,Had a good day till he twisted his ankle on his two mile run,joy
1957313260,happiness,Hemp316,Can you believe it:Tomorrow Night will be Jay Leno's last episode of the Tonight Show  I encourage everyone to watch it and welcome Conan.,joy
1957317721,hate,JohnWarnas,"damn another day at the office, the sun is bursting from the sky...and the women are eh well...back to the keyboard",joy
1957329151,happiness,noooeeee,@tifftiff88 what don't be sad?  Be glad. Your 21,joy
1957347193,fun,kaifreaky602,Listening to some nice music.. I think I should go to bed now so I get nice and rested but i'll miss Russel Brand's Ponderland,joy
1957359624,happiness,iamjhernandez,I am soo happy! But frustrated at the same time!  :]  :S. Ohh noo!!! Britney is recording her new video for Radar!!!  Sooo ExxCiiTeed!!!,joy
1957379307,fun,shadowcat_mdk,Walking to work on a gloriously sunny day. Going to be a good weekend in which I will burn as always even with suncream on  #fb,joy
1957392269,sadness,ShayMarie21,"@Lmhustle4life Shit none. But yea last weekend was crazy, i think i partied to hard, thats why im sic.",joy
1957394083,worry,samgillespie,not happy with my 5:45 wake up call this morning  ... she's going to be grumpy later!,joy
1957394632,surprise,adamleedesign,@absolutelytrue  #nightshift I'm still working  luckily having fun with it. I can turn the music up when no one else is in the office. yay,joy
1957397325,neutral,trashcanpatrol,http://www.speedtest.net/result/483892161.png i get good download speed only when no one else is using the connection,joy
1957401551,worry,sbutlin,looking at the sunshine out of my office window,joy
1957409566,neutral,ryantard,Brownie sundaes at Five and Dumpster. Blood Bros on iTunes. Palm Reader was closed  Fun at the 371 anyway.,joy
1957413593,boredom,lorraincium,"Last Chemistry lesson for this school year!  On a brighter note, my birthday will be sandwiched between two days in chemistry lab!",joy
1957417035,neutral,brianlj,"Morning folks! Light tweeting today ('Hurrah!' from the crowd!) 'cos I've a busy Friday. Me inside, sunshine out.",joy
