tweet_id,sentiment,author,content,dominant_emotion
1956992144,worry,Margotkay,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,nervousness
1957047569,worry,kilrturkey,I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.,nervousness
1957061418,worry,ashleeadams,@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages,nervousness
1957068229,worry,the1germ,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all.",nervousness
1957089935,anger,umi78,Working   But it's Fridaaaayyyyy,nervousness
1957103043,neutral,LadyotLane,"friday here at last, not much fun when your skint though",nervousness
1957137139,neutral,liamhui85,so tense..so emotional...so not me..,nervousness
1957238263,worry,Natalija,Insomniaaaaaaa..... all night trying to get a sleep... no luck... and now have to work,nervousness
1957256459,worry,brandi_marie,Oh good God crampsss...,nervousness
1957318057,worry,She_shines92,@ihatecrayons i'm so fucking nervous!!!,nervousness
1957321147,neutral,snishemoto,gahh!! i'm so tired right now.,nervousness
1957324346,sadness,ericakrysl,Just awoke in a completely freaked out frantic frenzy.  It's going to be a long night.,nervousness
1957351933,sadness,theresababy,i mean monday take the test monday!!!! please o please !,nervousness
1957362871,sadness,ManishaBaji,have a splitting headache!,nervousness
1957363478,worry,mick3y93,"shady's making me  Trying to code something, if you know php, HELP!",nervousness
1957385950,worry,adiandcriticism,"Need to come up with another blog post today. But for now, I AM SLEEEEEPPYYYYYY!!!!!!!!",nervousness
1957393736,hate,lukehmuse,"On way to exam, very very nervous  bah",nervousness
1957398769,worry,Susantse,"its at 3 am, im very tired but i can't sleep",nervousness
1957436057,worry,heydavej,"@colocelt My man, its like 3:30 in NJ. I have classes to worry about again",nervousness
1957446240,worry,clarexsaula,Going to see Angels and Demons tonight. It better not scare me!!,nervousness
1957467675,worry,silvernik,with hubby at the dentist ready to hold his hand  and getting nervy about potentially buying a car tomorrow,nervousness
1957482979,sadness,SaMannequiN,has had AWFUL hiccups today and now can't fall asleep because of them,nervousness
1957488540,worry,waffleygoodness,@katelynizzle haha okay you were talking about middle college grad I think and I got worried,nervousness
1957493869,worry,LadyKry,"Auditions are good but, Iam super nervous! That is one of my virtues",nervousness
1957512669,sadness,kayyyluh,cant sleep  so tired! goodnight... maybe :/,nervousness
1957557902,sadness,xdott,very tired and anxious,nervousness
1957583045,sadness,stacii1980,can't go to bed  An am sooooo tired!!!,nervousness
1957622495,sadness,SharronEm,3rd day of pain,nervousness
1957715254,neutral,carla_casanova,July issue is stressing me out...,nervousness
1957725379,sadness,PatriciaUbaldo,I overslept  headache,nervousness
1957737906,worry,Saschav,Jinxed myself! Damn system upgrade didn't stick... Starting again,nervousness
1957738262,hate,Lieszl,preparing for my spanish.. BAAAAAAAAAAH,nervousness
1957759448,worry,StaxxMcdouglas,On my way to work! I'm runnin late and I'm sooooo tired!,nervousness
1958051997,worry,stevecrowther,My cold now seems to me settling on my chest  worried I am sounding like a typical man with flu !,nervousness
1958054166,worry,kimmie007,Has that sinking feeling that it's all about to go t*ts up.....bracing myself for the comedown,nervousness
1958067040,surprise,kevin_choo,Getting stressed over a sortie tomorrow. And like I am really really stress..,nervousness
