tweet_id,sentiment,author,content,dominant_emotion
1956967341,empty,xoshayzers,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,neutral
1956967666,sadness,wannamama,Layin n bed with a headache  ughhhh...waitin on your call...,neutral
1956968477,worry,xxxPEACHESxxx,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,neutral
1956968487,sadness,ShansBee,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",neutral
1956969456,neutral,feinyheiny,cant fall asleep,neutral
1956970860,surprise,okiepeanut93,Got the news,neutral
1956971077,sadness,Sim_34,The storm is here and the electricity is gone,neutral
1956971473,worry,LCJ82,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,neutral
1956971981,worry,andreagauster,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,neutral
1956972116,neutral,jansc,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,neutral
1956972359,sadness,xamountoftruth,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,neutral
1956972444,worry,jomama6881,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,neutral
1956972884,worry,oONEPTUNEOo,Damm servers still down  i need to hit 80 before all the koxpers pass me,neutral
1956975441,neutral,LovableKeKe,@cynthia_123 i cant sleep,neutral
1956975876,neutral,jubaldo,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,neutral
1956976371,worry,babyxj,I need skott right now,neutral
1956976557,neutral,JanBenn,has work this afternoon,neutral
1956977618,worry,MDD113,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,neutral
1956978276,empty,Aggie9,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,neutral
1956979756,neutral,ryarellano,wnna take a bath!!!!,neutral
1956979917,empty,Dreness023,@djmicdamn hey yu lil fucker i textd yu,neutral
1956980788,neutral,nathaliep,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",neutral
1956981427,enthusiasm,Caillie,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",neutral
1956981850,neutral,robuttley,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,neutral
1956982075,neutral,minamic,@lostluna But I got dibs on Sulu...,neutral
1956983467,neutral,njc87,At home alone with not much to do,neutral
1956983851,worry,sweetkisses277,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,neutral
1956983931,neutral,MunkyMunch,I cant give @jertronic any bday nudges.,neutral
1956984185,worry,HarryLyme,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',neutral
1956984864,worry,Amantou,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",neutral
1956985129,neutral,Cookphotos,@Dancing_Monk Neither are ELP!!,neutral
1956985758,worry,jazz_angela,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.",neutral
1956985973,neutral,ssabz,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,neutral
1956986359,worry,bittenbyte,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",neutral
1956987381,worry,supkeke,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,neutral
1956987904,worry,creativevixen86,I can't sleep...I keep thinking about the puppy I played with today,neutral
1956987950,worry,smiles4dayyz,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,neutral
1956988223,worry,kabilan,"Last one month due to summer, strawberry is not availble in the Chennai markets!",neutral
1956988477,neutral,enlightenthem,@willxxmobb work at 6am. Gotta go to bed soon,neutral
1956989514,sadness,yellowduckx,@sweeetnspicy hiii im on my ipod...i cant fall asleep,neutral
1956989561,neutral,outrAjusCharmer,PrinceCharming,neutral
1956989914,worry,Fowl2,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  ),neutral
1956990288,hate,MissPassion,@mrgenius23 You win ... SIGH Rakeem,neutral
1956991704,hate,Tweetyangie,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,neutral
1956992349,neutral,jarekpastor,@justamedicine  That was stone cold   Crazy....  ?,neutral
