tweet_id,sentiment,author,content,dominant_emotion
1957196855,sadness,itsToniA,"There's Nothing To Do Right Now And I'm Tired But I Don't Want To Sleep. Cleaned Up Pretty Good, So Proud. At Least I'd Be A Good Janitor",pride
1957239652,worry,buggirl1964,It was my baby bros last time singing in front of his school  im so so proud of him !!! but when did i get old  im only 22!,pride
1957558651,sadness,sowhat28,"@JoelMadden I applaud you for accepting gay marriage, I have rels that are born again that hate me for it.",pride
1961431769,neutral,_fiddlesticks_,"I'm a giver, and life rewards the takers.  We givers make takers possible, but we get no appreciation for what we do--we just get taken.",pride
1962618376,worry,zcrab,@Lbaje i got talent too  u nvr hear me sing or dance them does call me Mini Breezy,pride
1963465726,sadness,princessjupiter,I sometimes feel like the only person in the world without an iphone,pride
1964153322,worry,Iluvthelord01,Just finished taking world geograhy final!!! I think I did bad!!!!,pride
1965646746,happiness,pagespicer,"Crisis averted!  Phew! On a different note, @AmeeC3 and @Zelenski....you guys are making me so proud! tear!  wish i could have joined",pride
1965672143,surprise,floydmay,Believe it or not I'm a super geek,pride
1965853805,sadness,baldeggie,@JayresC: n u can't change your profile backgroud neither,pride
1965861657,empty,starkissed,"@JerryShaw i tried changing my pic but twitter is a hater  im a doctor of awesome !! other than that, im just a medical assistant :]",pride
1965895020,worry,helloaberdeen,"I hate dreaming that your at some awesome party and you wake up at home, there was jager at the party too",pride
1694034997,relief,hayleybabeyo,"i finished new moon  in 1 day all up. maybe less, im quite proud, now who wants to lend me eclipse haha",pride
1694051730,happiness,adriansinger,wlcome @johiw44 - i'm proud of my girlfriend,pride
1694457946,happiness,itbemecece,"So proud of cg, took 5 yrs in the making to get that number 1 spot  gnight twitter bugs...time to read myself to sleep.",pride
1694667020,happiness,maryelizabethx,I skip school way too often  I'm rather proud actually.,pride
1694789604,neutral,JakeBonifield,"AP gov exam. Haven't looked at this stuff in months. What's that? I'm a total legal nerd and know these cases like none other? Oh, yeah.",pride
1694790597,happiness,epietru02,home from the beach and only my feet are burned. i am proud of myself and the sunscreen.,pride
1695343867,sadness,jeffparks,"@AntiDepressiva I get motivated by the fact that I know I'll wake up and be more productive if I go, then if I sleep in, just me though",pride
1695883277,love,CatherineYetive,@AndreaNBC13HD Proud 17-year-old here that loves The Carpenters!!!,pride
1695884138,love,kateblogs,Very proud of my son - he's just found out he's been offered an unconditional place at music college,pride
1696134095,happiness,rdjohnson,proud of the ceviche and bellinis turning out so well and LOVING the smell of fresh flowers in the house,pride
1696177526,love,wx1901,@pseudosophical YAY YOU! So proud of you!  and I'm not even being sarcastic. Even though you told me to shut the fuck up.,pride
1750930428,love,Elyteacher,Boy is all graduated!  So proud of him!,pride
1751358127,worry,TkTwilight,i now know that we've made a difference in each others lives...i feel proud.,pride
1751643583,happiness,jewertt,Welcoming cimmarongirl  I'm so proud!,pride
1751785831,love,boyofdestiny,SUPER BUENO FTW!!! I am so proud of you guys.,pride
1752089633,love,mollymari,Sending love &amp; respect to all the mommies out in the twitterverse! You all inspire me!!,pride
1752227682,relief,keokilee,@kellimiura I'll save the celebration until it's sent to my professor. I am proud that I wrote a 15 page paper though,pride
1752256208,love,uknowulovemeh,"Talking to my good friend Neika on myspace... I used to be friends with her, then hated her, and now am great friends with her again!!",pride
1752320627,fun,JesusNeedsNewPR,"@brotallybeh dude, was that you in the new Star Trek Burger King commercial? Bud Light AND Burger King? So proud of u man.",pride
1752618460,neutral,dopeguhxfresh,@QueenofKong No need 2 apologize mama i respect you for that,pride
1752699560,happiness,rhispect,I'm so proud of Dr. House for detoxing.  His Amber hallucination is evil!!,pride
1752871285,fun,ArmyWifey2007,I'm one tough momma. Put together a swing set for Tammy allll by myself today!  My hubby would be so proud of me. :],pride
1752917157,relief,ness0714,I'm the proud aunt of baby Afrikaah Itzel 7.9 lbs 20.2 in,pride
1753051693,surprise,metally9,just bought 5 bouquets of flowers and put em all together and arranged them all pretty for my momma in the morning!  ::proud of myself::,pride
1753052376,sadness,Milliah16,@solangeknowles I'm proud of You Solange.,pride
1753072218,love,jimzak,"@suppz yeah, but Mr. Mom's I would say, appreciate their wives much more than the avg dad   I have a new found respect for mothers now",pride
1753330914,worry,NiksieThePixie,@victoria1810 im so fucking proud of you,pride
1753346962,fun,bjeanes,Just got back from Apple Store in Robina. Managed to get a replacement iPhone because it couldn't access the web properly. So shiny,pride
1753365787,fun,BenMcDonald1,today i salute all mothers and honour the feminine....and now its time for a beer,pride
1753498277,neutral,stef_shortstack,@bradiewebbstack umm ok you sound verry proud of yourselff bubb,pride
1753516432,love,sydsational,@LifeofaDQ I am so proud of you,pride
1753631743,happiness,rwdave,"@NovaWildstar Nothing of the sort! Nevertheless, I shall now go out and share my magnificence with the wider world!",pride
1753663308,happiness,GeorgieYo,I'm feeling higher than Mt Everest,pride
1753679999,happiness,doorofkukondo,"As of today, @Peek_a_Bo0 and I have been going out for two years. Best two years ever",pride
1753745279,happiness,nadinesaupeart,Just found out I'll be a Food Engineer in a future life. Cool. *iPhone app called Afterlife,pride
1753806660,sadness,JamesMackney,Basil will be the highlight of my day. I've just had an old man lecture me on the greatness of the Telegraph. What an idiot,pride
1753838665,happiness,Mehdi_10,Proudly watching my film  http://bit.ly/dP2Uh,pride
