tweet_id,sentiment,author,content,dominant_emotion
1956970424,sadness,Samm_xo,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,realization
1956971206,sadness,brokenangel1982,So sleepy again and it's not even that late. I fail once again.,realization
1956979150,sadness,rionne,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,realization
1956986211,sadness,metaphysical1,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",realization
1957000336,empty,Gen22,@softtouchme just answered you- never learned how to write in French- just basic stuff-,realization
1957001967,neutral,mozwold,"Morning tweeple,way to early again",realization
1957003440,worry,autotips,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,realization
1957015719,worry,dancingwithself,people in my house do not know how to close doors,realization
1957017177,worry,KCSuzy,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.",realization
1957018162,worry,leilanire,i think the vog is making me sicker than i think. feeling slightly achy,realization
1957028775,worry,MllexCamelia,I have forgot the live with the Jonas Brothers on Facebook,realization
1957033558,worry,Rossco_NZ,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!,realization
1957068880,sadness,GarageGlamorous,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks,realization
1957070786,worry,Jaydeyn,Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn't try for uni.,realization
1957075457,worry,ljslover,It has come to my attention from a 16yo friend that I've recently gained a TON of weight. He didn't know it was me.,realization
1957084945,sadness,TinaBinaTooReal,missing @MeLDiBiAsE...6 days can't pass quick enough,realization
1957086150,neutral,veedigga,awwww  i never noticed this http://bit.ly/RConp,realization
1957096302,worry,purplelaptopgrl,I knew I should've worn the SARS mask on the plane from SoCal.. feeling the beginnings of a sore throat,realization
1957099112,worry,oOoshecutee,#liesgirlstell  a guy calls her phone to see if the number is real ) ohh my phone isn't working . try tomorrow .,realization
1957104001,worry,missbossy,@RDeRozario woops! I only just realized my DMs to you are not going through,realization
1957104858,neutral,Sixerdude123,the times they are a changing,realization
1957109281,sadness,Kuteywithabooty,Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face,realization
1957115997,worry,msi_sux,I was a very naughty girl tonight. dissappointed with myself,realization
1957121670,worry,sheh,doing my english essay (on r&amp;j...wtf) that i should have done a long time ago when it was assigned last thursday,realization
1957124014,worry,MINGA_REPREZENT,ummm sooo yeh....its really hard to concentrate rite now wen i have this weird #lupus feeling goin thro my body,realization
1957136519,worry,Raes28,Taking a nap after work=no sleep right now. The nap felt soooo good but now it seems like a bad idea,realization
1957146363,sadness,cutebabe016,I was too sleepy earlier and i didnt get to see matt,realization
1957146963,sadness,J_Potter,I just realized I spelled &quot;adorable&quot; wrong when I tweeted @mindykaling she must hate me now,realization
1957151415,neutral,roddickremixed,@anthothemantho Hell yes. I'm too late.,realization
1957153898,worry,MuGzyMcFLy,ohh shit i just realized she still not talking to me  it b like dat some times..,realization
1957156210,worry,Joannazhou,"4 very big ???zongzi) for lunch, ate more, but not work more.Work less but eat more, what  can I do w/h it? Too useless become.",realization
1957158993,worry,ashtangi_paul,Nursing bruises from motorbike crash on Wednesday night leaving London workplace. The ground is so much harder the older you get,realization
1957160428,sadness,Gwakkle,@lozzyx NOICE. I realised that after exams I have 2 more weeks  Forgot about the whole 2 weeks of Unit 4 in term 2 thing :/,realization
1957169248,worry,AliciaVelasquez,class color day tomorrow! last time!  I have a lot to remember for tomorrow but I bet I'll forget -_-,realization
1957174158,sadness,JenStewartPhoto,Wow just realized haven't checked Twitter since 9am when I saw my to-do list. Good news- got lot done. Bad news-don't know where day went,realization
1957174342,empty,ErictheAzn,@allyycase I'm trying to sleep!!! It's not working,realization
1957175259,neutral,sammio94,back from grimsby  it sucks bein back but was amazin wknd anyway!!,realization
1957182104,worry,tinyvamp,"its from all that anal sex, i forgot the lube. damn  may need to go to the E.R.",realization
1957207123,empty,chris_sponge,those workmen extending R block can't start this early surely.. its 7:45am and already they're making a racket and woken me up!,realization
1957231506,hate,elliejanexo,Omg grr my parents left probably 15 minutes ago to belgium and typical i wake up a stupid o'clock,realization
1957240070,worry,jysla,http://twitpic.com/664oz - this is what happens when i have no models,realization
1957244537,neutral,jak89,"@toddh3284 T, im sooooo bored right now",realization
1957246875,worry,missrubyrouge,i pulled a muscle in my neck this morning just feels like its getting more sore,realization
1957266048,sadness,jasmine_pie,i really should stop relying on my family when they say their going to get me lunch,realization
1957277190,surprise,djsteeley,"Oops, they don't open until 9am",realization
1957285346,enthusiasm,JosBirken,Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn't subtract the pic URL from the 140 character limit,realization
1957288955,worry,its_sb,"I was just watching some cartoons as I haven't in years when I was eating my breakfast, the programs have changed",realization
1957289252,anger,crazy_erin,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.,realization
1957293485,worry,MyLifeInGeneral,Not excited of blowing out another candle today... [as when I was a kid!]   We gotta grow up soon or later...,realization
1957298429,neutral,theanand,"@vivzy wanted to change my handset covers, pen drives and a headphone in some place..guess its not happening...",realization
1957299195,love,kellygirl27,There is something wrong with me! I'm so tired I can barely keep my eyes open. Yet all I've done for the last 3hrs is toss &amp; turn in bed,realization
1957305026,boredom,GrahamGerritsen,Gogol Bordello &lt; par.    Prolly not even in the top 10 of GB shows I've seen.   Perhaps some old fashioned Civilization II will help?,realization
1957309670,worry,Socks89,Been working lots of overtime this week. Only just realized I booked a half day tomorrow so this week will just break even,realization
1957320064,worry,tannwick,"@yellowbag Hmmm, should have looked at it a little more methinks",realization
1957331550,sadness,BradleyJean,i'm so bored i can barely even tweet. i have nothing to talk about.  #boredboots,realization
1957350646,neutral,keely_0_o,My door looks naked   It makes my room feel bigger though.,realization
1957353800,surprise,exortabreedoll,feeling so dizzy right now,realization
