tweet_id,sentiment,author,content,dominant_emotion
1957053409,relief,gangstamittens,is home.  safely... but hungry,relief
1957112925,neutral,BossTycoonLZ,Aright Twitter Fam... guess ima be outties.. gonna try n sleep off some of this horrible pain,relief
1957123693,neutral,bskinner14,Off to bed!! Still exhausted from Vegas,relief
1957125747,worry,shradhac,All I want to do is sit back &amp; relax for a little while. How can that be this difficult?!,relief
1957181879,worry,zoe_king,needs a little lie down. not feeling great today. boo,relief
1957198077,relief,Caitlinmfg,"Off work, trying to relax for about 30 mins before I've gotta go back to sleep",relief
1957287662,worry,Roberto958,"just tried talking........voice died before end of sentence! Annpyimg thing id, i feel fine!! Another day of not playing the hits",relief
1957336806,empty,kobraman88,@kimoraklein my sleep pattern is screwed i need to try and stay up 2 midnight so i can get some decent sleep coz i havent slept,relief
1957376424,worry,Celz29,ok so i'm a lil happier now.. i hope i fixd my emails.. hope they weren't hacked although it seemed really suspicious!!,relief
1957543263,worry,gabvirtualworld,@UltraSub Too much details !!!    (But glad he is better),relief
1957679152,fun,Misdreavus_72,@Banette_ good to be back! It's really late though and I just got back from scaring some people and I'm pleased but really tired,relief
1957710304,love,luckygnahhh,"@RikkAlaniz I'm glad he didn't get too hurt, I know some bad things can happen on motorcycles  you and everyone else are okay too, right?",relief
1958034928,worry,kdr76,went to bed last night with the feeling of a migraine coming and woke up feeling worse.,relief
1960130347,neutral,jboMaria,"no work today! went shopping, and now relaxing  &amp;learning for the toefl",relief
1960138796,relief,ceritaanak,"After being down for several hours, finally my site is back online. Silly DNS setting mistake",relief
1960200942,worry,lejlaxo,Feeling down again. Today is way too stressful.,relief
1960259597,enthusiasm,vibhavsingh,Dubai!!! Still trying to settle down,relief
1960450938,sadness,jamiebball,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,relief
1960575835,worry,todaayx,'ss back to the gym project. Finally finished ... Damn filthy hobo's always trying to eat my taco's.  !!   &lt;/3,relief
1960621228,hate,ladyluff,I was awoken by loud banging and it continues all day  Good thing I got an early rest last night!,relief
1960717106,worry,jdfwoods,"I'm really tired today - I must have slept very badly... I'm glad it's an &quot;off&quot; Friday, but I've still got a ton of stuff to get done  #fb",relief
1960871159,surprise,zandperl,"Energy steadily increasing, thankfully, but the cough isn't going away.",relief
1961372044,sadness,jclynariandra,Suddenly I remember all the memories with him  ohhh please,relief
1961422360,worry,sweety10189110,My teeth and my eye hurt   someone make them feel better,relief
1961646377,worry,ToxicShockTaco,I'm glad I don't have class on Fridays. I need the break! Algebra test on Wednesday,relief
1961872401,relief,kylenewman_uk,has just woken up from a power nap. That feels better! Nothing planned for tonight though,relief
1961964855,worry,keveney,There  was just a horrific fight at my school  glad everyone is ok and that it's Friday.,relief
1962233315,worry,Laylannise,At work sick  but I'm ok to the mall!,relief
1962366136,sadness,kaseylrose,Is on the couch hungover--don't expect much out of me today,relief
1962392072,happiness,sarisam,@detrick Hey! So glad it's Friday but not happy that I just ate a bad apple,relief
1962617412,neutral,michelle_0687,Oooh the hangover,relief
1963102275,worry,RoeBloodBathx,"Whew. Finally done editing my Friendster account. Haha! Oh, geez. I'm hungry.",relief
1963201413,happiness,EMbracex3,just hanging around the house. Thank god its friday. With nina &amp; @missmarissxox later and working on a global project,relief
1963225083,sadness,ScottGreaves,Had a relaxing day at the park in the sun. Back to work tomorrow,relief
1963391215,neutral,evalast,Just finished lunch...Subway Eat Fresh.......now gotta go back to work,relief
1964091369,relief,SuFiGirl35,Finally get to lay down for a bit i have a major headache,relief
1964164781,sadness,PuddleMonkey,Arrived safely in San Fran. Disgraced to report that I tossed my cookies. Seems I no longer have the constitution for flying.,relief
1964628882,worry,MikeDrawback,ha im so glad it stopped raining.  my umbrella broke today,relief
1964832218,happiness,CuddlyAlex,Horrible thought... I have to go back to work on Monday   Good thought... I only work for 90 minutes   Life is good.,relief
1964883841,hate,sexyredd90,The only way I'll feel safe is when he's finally in jail where his stalker ass belongs!,relief
1964975761,neutral,sandy2709,I am sitting here taking a little break and trying to recharge so I can continue housework,relief
1965293996,relief,madlymint,@flossa  have a glass of cold water and meditate a bit. &lt;3,relief
1965475001,worry,SarahhKinss,now i dont feel so good,relief
1965531745,happiness,zaqim,I am so glad it's Friday. I just got off work and I'm so tired.,relief
1965542810,relief,MotherofSEM,Hubby needs a vacation  Thank God we're leaving for Myrtle Beach in a week!,relief
1966037770,happiness,_Jellybox,night night twits! im so glad I will be waking up to a saturday off work!! printer has broke though,relief
1966208666,neutral,LotiBradley,might go to bed? No nightmares about bad grades tonight please!  Hmm!,relief
1966288898,happiness,tsjohns,"1.2 mile run and 450 meter swim, things are looking better and better... Laying off the bike today",relief
1966402751,worry,purplepenguinz,ughh...i dont feel good,relief
1694016526,love,jaecka,Morning.. Coffee and fresh air,relief
1694054375,anger,RBizzzle,finally home for once after a dope ass week,relief
1694071887,happiness,Misssarahnoir,Monday morning bathing - soooo relaxing! If I was a lady of luxury I would start every day like this,relief
1694202689,relief,natecv8,thank god i havent quit my day job  ps. turning 27 tomorrow. i just round up to 30 now.,relief
1694204371,enthusiasm,kikofbaby,@Hayday12 keith... im better now,relief
1694219081,neutral,PaulChristian,"Enough studying,whew... Time for sleep",relief
1694240546,worry,edwardli,Back to work today but I don't even mind.,relief
1694255268,worry,waywardtapper,Feeling considerably better after 13 hours sleep  still not right though...,relief
1694256388,neutral,gregorzalaznik,Back to office. A bit strange after a short hollidays. But my MBP is without dead px and re-vamped with 4gb of ram. Monday is a bit nicer,relief
1694257079,neutral,traceysok,its Monday and all is good,relief
1694348353,relief,TLJohns,is feeling waaay too cruisey and relaxed for a Monday evening...  oh wait..  that's just wine before dinner...,relief
1694401634,worry,jonmaverick,is watching wolverine at last.,relief
1694437865,relief,JustJenise,Still wide awake... fortunately I don't have to be up early.,relief
1694494534,love,Nik_263_x,Finally i have finished my tec recipe card and i feel somewhat accomplished,relief
1694550861,happiness,brmbds,@PembsDave Hope you're having a relaxing day. I feel so laid back I can't stand up,relief
1694551397,relief,kyelani,@chuckdarw1n whew! thassa relief,relief
1694625212,relief,BeanMcN,Handed in. Can relax a bit now.,relief
1694812984,relief,vulgrin,"Going to be buckling down this week. So, relief for my twitter followers from my inanity. Enjoy my silence.",relief
1694814640,worry,stephaniemcg,"Awsome workout! Shower n then work, nice",relief
1694882264,neutral,Barnam,wow- back to business as usual after 3 days  of excess  #weekend,relief
1694952847,relief,Woodz_HN,"Woken up finally after a long night out, tea, toast and TV coming up...",relief
1695003864,relief,amitkgupta28,So finally.. It's raining in Delhi,relief
1695137094,worry,Tittch,@iantalbot Gosh I've a stinky old headache. Maybe I should have lunchfast,relief
1695137446,sadness,LOCALDUDER,@Rawrrgasmic it's a dreary monday morning and I slept like crap...give me a break...,relief
1695138078,happiness,AnyColorBlack,@Hyperopia feeling better now that it' breakfast time,relief
1695248620,hate,hollysh8,"I woke up at 5:45. Didn't have a full bladder, wasn't sick... And to top it off, I went for a run. Now I wanna go back to bed",relief
1695249016,relief,hlvanrip,finally feel back into swing of things here at work after getting married last week! sigh of relief for no more wedding planning!,relief
1695280936,happiness,itsRayabitch,Morning twitts heading home  had a great sleep over w. my bf Tennille!,relief
1695376175,neutral,chathuraw,Woke up after about 6 hours of sleep. Feeling better now,relief
1695617962,relief,TexasTerri,@subtleserpent I'm fine - day off actually so relaxing with laptop. Haven't done a single other thing yet.,relief
1695656474,neutral,433t,going to second morning of the day... just sleeping for 3-4 hours,relief
1695692041,worry,bornagainrev,I did it! I finished my first chapter summary on Care of Souls! Pray that I can have the Lords understanding! This isn't easy to do!,relief
1695884607,love,gbrink,@foxandfriends I am glad to hear that you are ok. Without you they would have to rename the show to  &quot;Just Friends&quot;,relief
1695885411,happiness,WhatShelleyDid,Just had the best shower ever  Still completely deaf in one ear but kinda getting used to it now!! Gonna watch 'the women' now!,relief
1696003623,happiness,wendypetty,good morning tweeties! what to do today? I am all rested up from Richmond and ready to hit the beach!,relief
1750929942,relief,Woolard08,Just got up from a nap.. Relaxing for the night,relief
