tweet_id,sentiment,author,content,dominant_emotion
1956969172,sadness,Ingenue_Em,@kelcouch I'm sorry  at least it's Friday?,remorse
1956972557,sadness,LilithGaea,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",remorse
1957023061,surprise,MissxMarisa,"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.",remorse
1957071331,sadness,only1lucylocket,"@SuzyDunkley sorry bout the cat,",remorse
1957093920,sadness,ebelow,@MariusLT I'm sorry about your bad driving experiences.,remorse
1957108151,sadness,Super_Stevie,@NothinButSin sorry to hear that.,remorse
1957122777,worry,crucifire,@Harishk: @krist0ph3r @saurabh sorry guys i have to drop out of the trip... some personal commitments..,remorse
1957126859,worry,nuraliaa,"Dad just said that our trip to UK is cancelled, due to da swine flu. Ooops! Sorry abang.",remorse
1957149064,worry,queenbmakeup,@imjustlalayone  I'm so sorry .. ya gotta let me know! I've been booked all week!,remorse
1957150576,sadness,schamloser,"@ElectraX ...i'm sorry about you are still sick  u know most of them, AND i know that u will guess the &quot;pelzer present&quot; ;-)",remorse
1957154220,worry,daveingland,"@soverpeck dude, i didn't know it was a personal experience. sorry something like that went down",remorse
1957191516,sadness,Quastbabynumbr5,Sorry was that mean,remorse
1957192397,sadness,androidinfo,"@rscheuer sorry, is only in spanish for the moment",remorse
1957204499,worry,shrikhande,"@sensonize ohh sorry , thats someone else's pic  my bad",remorse
1957206336,worry,RochelleReyes,"Finally watched the rest of The Guild Season 2. I always feel so sorry (and hopeful at the same time) for your char, @feliciaday",remorse
1957207790,worry,antandbecks,"Just spoke to Keith Urban's record company, we can't get him on the show till we're back from holidays  sorry Jack, we're trying mate!",remorse
1957249164,worry,karinamack,Is feeling really bad about goofin' on @NinaParkerTMZ not knowing she really wasn't at the meeting! Dang I'm sorry! Me &amp; my big 'ol mouth,remorse
1957278941,neutral,Luna_c312,@PorkChopJones Sorry   move back?,remorse
