tweet_id,sentiment,author,content,dominant_emotion
1956971586,sadness,cleepow,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,sadness
1956975860,neutral,analalalah,I missed the bl***y bus!!!!!!!!,sadness
1956976681,neutral,HarryHarley,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,sadness
1956982383,sadness,Ameeee,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.",sadness
1956982576,sadness,kShadhavar,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,sadness
1956983160,sadness,crittyjoy,@Pokinatcha  in all honesty...pain   blech.,sadness
1956983171,sadness,paulyum,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,sadness
1956984559,neutral,Marielii,says I miss plurking.  http://plurk.com/p/wxion,sadness
1956984894,neutral,Chai_Bo,I miss Voobys!,sadness
1956985612,worry,juliehuang,is sad that shin ae got married...and it wasn't to alex,sadness
1956987828,worry,palomalopes24,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,sadness
1956989560,sadness,benchidol,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,sadness
1956996776,sadness,KitaCupcake,Is miserable  i feel like im gona cry  sux!,sadness
1957000314,neutral,Phenikone,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,sadness
1957002082,sadness,V0NST3V3,"Last day working for the Uni today, sad times",sadness
1957003048,worry,rianne_kelsey,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain,sadness
1957005226,sadness,GiselleLee,is still missing her husband.    I really want him home.,sadness
1957005279,sadness,PYTDavis,I miss my puppy,sadness
1957006033,sadness,klybob,@BarbSchaefer yearling in pet home died... very sad for their whole family,sadness
1957006098,worry,puelladei,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!,sadness
1957006307,worry,ninz_0214,is feeling sad... for some reason..  http://plurk.com/p/wxji3,sadness
1957006674,sadness,nel5on,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,sadness
1957007633,sadness,IAmYourDensity,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,sadness
1957009454,worry,woahitsJana,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff",sadness
1957012476,sadness,nickhalme,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,sadness
1957013804,love,jammmaster1021,@bobbyedner i missed the game,sadness
1957016818,worry,PnkRckGirl97,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio,sadness
1957020593,neutral,anbudan_BALA,"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well",sadness
1957021305,sadness,AndyClaudine,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL,sadness
1957023133,worry,AmyFuentes,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...",sadness
1957027630,sadness,CforrClemmensen,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,sadness
1957031520,worry,Intel_Eric,"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you",sadness
1957032114,surprise,johnnypurple,@qi_tah oh no.  *hugs*,sadness
1957033901,worry,ACjoint,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend,sadness
1957038324,sadness,judez_xo,my teeth and head hurts,sadness
1957039456,sadness,trixbiscuits,no more arrested development. i am sad.,sadness
1957040988,sadness,xxkxx07,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,sadness
1957041745,sadness,ROBOKAWAII,Fuuudge. Movie store is closed,sadness
1957041767,sadness,courtneyyy3,ALO is so sad and quiet and empty tonight,sadness
1957042474,worry,andimoonpie,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,sadness
1957043226,sadness,lindseyrivera,Sad that Christian Lacroix had to file bankruptcy,sadness
1957047571,sadness,marissazaguirre,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.,sadness
1957050684,worry,Suemagoo01,is feeling bad  just got bad news about my Mum,sadness
1957052932,sadness,shaghayeghhh,feels sick to my stomach and idkk whyy,sadness
1957058219,worry,ecctv,@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,sadness
1957059348,sadness,chubbbie,my stupid tooooth hurts,sadness
1957060439,worry,Aeonflux21,It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...,sadness
1957061527,worry,morganis_21,my dog ran awayyy,sadness
1957064575,sadness,barbieprincess,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day",sadness
1957067988,sadness,whaaalian,@joiskol  being in your room makes me sad.,sadness
1957073201,sadness,Katja112,what a bad day,sadness
1957074101,surprise,Ms_MaryJane,omg i didnt tweet all that much today.... *sadness*,sadness
1957076433,sadness,sayble,I miss my mom..  &quot;May angels lead you in&quot;,sadness
1957079403,sadness,XonneL,"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please",sadness
1957079568,sadness,moniquemiranda,misses my baby.,sadness
1957080579,sadness,btiggs,I'm poorly and can't sleep,sadness
1957083616,sadness,Mayceej,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm,sadness
1957087043,neutral,elver,"First impression of Silverlight: sadly, based on what I saw today, it's quite problematic",sadness
1957090408,sadness,divinedreams4me,"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack",sadness
1957093185,worry,jesshui,hoping i didn't fail english. that would just be sad,sadness
1957099719,worry,Lia_arch_angel,gosh... summer vacation is almost over here at the philippines.. kinda sad..  i wonder what section will i be in?,sadness
1957100428,sadness,Frontieruk,@joek949 It's depressing I'm stuck inside all day,sadness
1957107095,sadness,ver0nica,i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz,sadness
1957109983,worry,Kurty4lyf,Omg going to die of swine flu when I go to Melbourne,sadness
1957115198,neutral,intanzie,watching The Biggest Loser on Hallmark. Never fails to make me cry  nyeh.,sadness
1957117968,sadness,SueWhitehead,"@johnpopham Morning John, yes I do, however I have a diary clash and sadly can't attend!",sadness
1957118155,sadness,gayasarainblow,I miss my friend,sadness
1957118513,sadness,Chassidy7,Yea i just saw this really sad commercial,sadness
1957120549,sadness,NykkiMassengill,Hates having to sleep alone,sadness
1957124073,worry,mrspaja2009,@charleyboorman http://twitpic.com/65623 - OUCH!! That looks so painful,sadness
1957131626,sadness,abideinlove,"@AmandaMallard i'm not at chaseton's either  please don't die, my heart will be really sad",sadness
1957137074,sadness,kerriruta,i miss oklahomaaaaa  listening to citizen cope til i pass out.,sadness
1957137208,worry,iSasha,@skyduke478 that makes me sad for you,sadness
1957140914,worry,hello_jodie,"@Anime81  I'm soo sad. It's just on the edges of the pages, but it's not gonna come out. *cries*",sadness
1957140966,worry,trishababycakes,"this time, i really need to shut it.. i'm going to sleep! my head aches badly and i really can't take it..",sadness
1957142917,worry,SuRe_Sh0t,Ran out of money. I r a sad panda,sadness
1957143236,sadness,ohbrenlee,"So Cal Dachshund Rescue found a home for my foster pup, Max. I'm soooooo sad to see him leave",sadness
1957143446,sadness,gayish,wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8,sadness
1957145425,worry,Crackberryfreak,i have a really bad head ache  gonna go to bed i might be back maybe not bye bye,sadness
1957145956,sadness,panopticonisi,should be sleeping.  lost my voice a couple day ago.,sadness
1957157433,surprise,air_nautique,Wow. That hurt way worse than i thought it would.,sadness
1957160410,sadness,Traaaaaacy,@katiefreeze I miss you!!!! It's lonely and empty without you!  http://yfrog.com/3o3zxoj,sadness
1957160631,sadness,CharlotteFoss,Missing Everyone,sadness
1957161860,sadness,CASSIEoliver,My sisser is moving tomorrow and of makes me sad  actually I guess technically in a couple of hours since it's already Friday.,sadness
1957162285,worry,ChalsiEspiritu,I keep on falling asleep when I'm suppose to be awake. I miss my babyy..,sadness
1957163968,sadness,CBTheCross,@wired that is so sad,sadness
1957167206,worry,weelissa,@BrianLimond Ever seen the tv show Dead Like Me? I died and became a grim reaper. Taking people's souls after accidents,sadness
1957169154,neutral,K_J,Will miss nostalgia ... everyone please kick tushar,sadness
1957170760,worry,anthonylewry,Misses his twitastic fwiends,sadness
1957174207,sadness,razearellano,http://twitpic.com/664b7 - miss my bestfriend :'( now she left school,sadness
1957177654,hate,ZenHarmony,"@mrskutcher  Where I live, all the small markets deliver their day-old bread to the food bank, but times are really tough, even for me",sadness
1957180100,worry,MARCisaballa,My tongue still hurts.  I need to sleep!!!,sadness
1957181678,sadness,soporificfrog,@t_isfortammy Sad tweets are sad,sadness
1957182181,worry,eberhartn,Playn madden with austin. Im going to miss him..,sadness
1957182382,sadness,happy_inside,i miss rich,sadness
1957183021,worry,hutchouse,PLEASE MAKE THE LIVECHAT ON SATURDAY CUS I HAVE TO GO TO SCHOOL ON WEEKDAYS(5/6 AM here)   @Jonasbrothers,sadness
1957185446,worry,iluvkrisallenx3,"@scotty_mcc bye, Scotty!  i'm gonna miss you. ily&lt;333",sadness
1957186277,worry,Joannina,we can get a temporary tattoo. I would be totally sad if he died.,sadness
1957191925,worry,OnyxWolf,I can't sleep. I can't find my grandmother's quilt or locket. I'm sick at myself cause I may have lost them somehow. Or they were stolen,sadness
1957194454,sadness,circelilith,has had the flu pass unto me by andy...went shopping and got fresh chicken for chicken soup...but no d&amp;d this sat ...is a sad panda,sadness
1957197501,worry,VictoriaDoyle,feeling extremally ill,sadness
1957203256,worry,dereckbreuning,I miss my daily quotes! Why don't i get them anymore? @sschabowski am I kicked from your mailinglist?,sadness
1957207781,enthusiasm,kinarodriguez,Only one more day of Jay Leno  que sad!,sadness
1957208462,sadness,nikkitastic,Honza takes his flight back to the Czech Republic in the morning  I'm really going to miss him.,sadness
1957209074,worry,bigenya,@cocoy @mike_online That's the sad thing about it.,sadness
1957213679,worry,kellbo9,watching two of my patients die tonight has put me in a funk. one was young.,sadness
1957214477,worry,joey234,"The Aila Cyclone left my house in Calcutta with a broken sunshade, balcony and a huge branch of tree thru our bathroom window.....",sadness
1957214887,sadness,nwoidaho,@NellaGrl not really having a good night... missing my little girl...,sadness
1957215074,empty,GiaGallardo,my knee is killing me  im off to bed!!,sadness
1957217150,worry,Rachecullen,@tanyaDlove whats up? im sad  you didnt text today.,sadness
1957219264,sadness,pauiieee,i miss seeing fireflies.....,sadness
1957220978,worry,kait_duh,weebo is dying,sadness
1957228449,sadness,serinurshira,I'm going to miss Miss Suhana,sadness
1957228684,worry,wyzyeeyez,mary hates me again  i wana walmart it butno one wants to go,sadness
1957229464,worry,kimhallows,is feeling really sick,sadness
1957230282,neutral,Lexylovesyoutoo,Def wants to cuddle it out maybe play but has no one to do it with the bc is far away,sadness
1957230433,worry,eunicesandoval,My face an my arms. Tragic. Seriously.,sadness
1957233475,neutral,neonpowerbomb,@gettothefalcon i miss that too,sadness
1957238515,sadness,lady_n,Waiting on the bus! I miss my car,sadness
1957239436,sadness,cutthroatpixie,It is kind of lonely when nobody will answer their phone.,sadness
1957241621,worry,desired_waste,I still miss him... And i dont think he's coming back,sadness
1957242310,worry,lanarsbananars,My tummy still hurts  another cubs game tom...goood night.,sadness
1957246312,worry,megan_hudson,My throat hurts and I can't sleep.,sadness
1957247855,sadness,nevillejohn,Sadly I am bprohibiting myself from tweeting tonight. Sorry,sadness
1957251210,worry,ryankelly81,@nassrenj I miss u guys too  I prob won't b bk til august sumtime... But if I come bk anytime b4 then ill 4 sure let u kno!,sadness
1957255401,surprise,autumnmariegray,@sydthekid why are you sad?!,sadness
1957266295,worry,t_blackie,i lost mx way,sadness
1957267231,sadness,rohan_kini,@roshnimo yup .. sad eh .. Betty man .. it should have been betty,sadness
1957274963,neutral,yayfuckbuddies,"bored, nothing to do",sadness
1957276719,sadness,HUIYUNN,Their songs make me want to cry..,sadness
1957277936,worry,bigenya,"@overlordtrainee Sigh. It is a sad, lonely profession.",sadness
1957281398,sadness,brandonbolivar,@noiselesssound I just heard that Regina girls song @ les deux! And I think u should/have 2 come back 2 mc! I miss u,sadness
1957284632,sadness,yoimlun,just got home. im so effin sad,sadness
1957287436,relief,RoeBloodBathx,Aw. The sky is weeping.,sadness
1957288916,sadness,christine_tung,sigh....it's always so sad when you watch the series finale....no more green wing left to watch,sadness
1957290428,sadness,shmerin,The fam back on the Big Island said the vog has been so bad that they can't see the ocean. Sad!,sadness
1957298715,worry,skessynews,jessie has gone away 4 the weekend!! I miss her already,sadness
1957299984,surprise,Lucie2k9,I was awake until 12:45am then my mum turned the internet off so i couldnt watch the @jonasbrothers live chat i was ccrying i was sad,sadness
1957305609,sadness,musicspheres,Can I get tonight's SYTYCD online anywhere...streamed like Hulu or paid like iTunes. I missed my favorite judge and now I can't sleep.,sadness
1957310090,sadness,gelaibabydoll,"@yelainez  oist the 1st tym, di pa ko 18, the 2nd tym, may sakit na siya... don't blame me",sadness
1957311599,sadness,SlivaBatti,"getting ready for school.. reading what's going on on set in Montepulciano, and practically crying cause i'm not there",sadness
1957315651,neutral,jicholls,lonely ..,sadness
1957317110,sadness,savawatts8,Um k.. this is NOT Close My Eyes.. this song always makes me cry bc my mom is gone but I &lt;3 it anyway..,sadness
1957317646,sadness,ailish79,"@SmellTheCheese I know, that is so sad.  I",sadness
1957318639,worry,lornali,@quikness Waaaahhh! So sad     Let me know when ur next down this way!,sadness
1957321983,worry,KerrieBerrie21,I'm wake and sad  what the hells going on,sadness
1957322446,surprise,carrrrla,my cheeeks hurt so bad. what happened!?,sadness
1957323890,neutral,libster_t,i have nothing to do,sadness
1957328727,sadness,sheeeeeeeeeeeep,@jessereed did u watch the day the earth stood still? did u not see my bye when u got d/c...  im sad i left 2 and now ur gone  ily&lt;333,sadness
1957331468,neutral,yoimlun,im saaaaaaaaaaaaaad  i need someone to talk to.,sadness
1957335305,worry,snukembears,I am down  I need my snuggles but he is at work and he don't like to snuggle  ironic huh...,sadness
1957339420,love,PaulinePiso,Jus Got Hom Fr. TDa Funeral... I'm So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.,sadness
1957340996,worry,AlexiaRamirez,"Well I did run over a cat today (I know how sad) I cried and screamed my lungs out!!! I felt HORRIBLE, poor thing",sadness
1957341789,worry,rociopayan,ahh..my stomach hurts,sadness
1957343086,neutral,boyle111,Is up so early and proppa shattered and knackered,sadness
1957348198,sadness,Rachecullen,@sashaostrikoff i miss you,sadness
1957348794,sadness,tiggerwoods,Feeling bad that @muemerry didnt get to see UP,sadness
1957353248,worry,carrieleemay,"going crazy, the pain is unbearable..&amp; i gotta wait till thursday!?",sadness
1957353973,sadness,Mr_GaGa,@msalonen I feel like a Truck just hit me too! I also Resemble a man hit by a truck!,sadness
1957355934,worry,irvanpiacheski,so sad about Mike Tyson's daughter.,sadness
1957362899,sadness,_erica,OMG. Period cramps are FTL. So much pain.,sadness
1957363745,hate,teammartin,Hates untalented bitches being mean to my talented friends,sadness
1957364066,worry,histapleface,I have to goto work now ahhh kill me  my life isn't going the way I want it too atm. Ta ta kids x,sadness
1957364129,worry,multitaskingpro,"feeling lonely,DH on night shift all w/e",sadness
1957367293,sadness,jcksl,sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.,sadness
1957369316,worry,ninjamuse,http://twitpic.com/665e9 - i miss this place,sadness
1957372522,sadness,Rachecullen,@Lil_maggie you okay? i miss you @tanyadenalilove im sad you didnt text todayh,sadness
1957373593,sadness,Mz_Cognac,#3wordsaftersex it hurts now,sadness
1957375982,sadness,VdChiongbian,@DontLetGo14 at home  im so lonely here...,sadness
1957376288,worry,ajinka,"I am in school. Absolutely I have been sick .. I want to go home - we are writing of geography, the best it will",sadness
1957377376,worry,bettinapaula,sad that she didn't get to see Rica before she leaves later today..,sadness
1957383118,sadness,ebistolas,My computer is being killed by a combo of mirrors edge and really poor win7 thermal management...75c gpu = one sad game,sadness
1957383729,sadness,TonyPrice1970,"@Kingsrockandrol I'm a bit down zoe cos I'm off to bed soon, so I will miss this gorgeous weather, were having  what you up too today? X",sadness
1957388050,worry,Heathurr88,Ahh! my right kidney hurts soooo bad!!! Ooommmmggggg!!!!,sadness
1957388367,sadness,happypeyy,i lost my voice . what should i do ? it's very torture,sadness
1957392626,sadness,SABruce19,@itstayloryall Im so sad we missed you at Family Reunion!!,sadness
1957393357,worry,qlotusboy,Omg... Prison break... The final break. The two episodes that only aired in the uk. Wow. Watch them if you haven't. Soo sad. Tear,sadness
1957395705,sadness,lekogeko,"@1825remnant, i missed everyone tonight",sadness
1957401850,hate,valeriuhh,"im gonna die of a heart attack one of these days, if i keep going off to bed this pissed.  GGGGGGG'NITEEEEEEEE",sadness
1957402597,worry,joerel_faith,i'm lonely.  i need some hug.,sadness
1957406009,worry,Veronica_F,Grrr... why can't I fall asleep,sadness
1957406370,worry,leroienjaune,My head hurts,sadness
1957409511,neutral,chowmut,http://bit.ly/LaZEL  Wow Christian Lacroix bankrupt.. sad,sadness
1957410592,worry,darwii,@shaundiviney i got a messgae but it didnt work cause i have a text saver not like money credit  im sad now. wat do i do?? xoxo,sadness
1957410722,sadness,CarismaLogan,missin my bro..,sadness
1957415838,sadness,xdetergentx,my party is wiped out they be all dead and stuff,sadness
1957424185,sadness,yungdes,is lonely in need of company,sadness
1957427532,neutral,1gemineye,@whatthelillyyo we just missd each otha again! I was at disney all day YESTERday!,sadness
1957429148,love,MissMasochism,im gonna go to bed alone again.  Sad day for me. but itll get better.,sadness
1957435496,sadness,sidneykidney,@Velf79 Missed you last night hon,sadness
1957440033,worry,iSibisy,I caaaaan't sleep.....it's 3.30am! wahhhh... i wanna cry,sadness
1957442526,sadness,johnnydonovan,4am foodshopping cause I was sick all day and was in hospitals  being alone blows,sadness
1957444525,worry,mikmk,I just lost a fight against @hangy on Tweefight. I lost  Please revenge me! Try now http://tweefight.com/?opp=hangy,sadness
1957444593,sadness,PrincessEleasha,is seriously heartbroken!!!,sadness
1957445252,sadness,nwoidaho,@NellaGrl ...being lonely all the time.,sadness
1957449197,sadness,Keiralou,ouch  epic bruise between my toes and a lump just under my ankle  bad times,sadness
1957451307,surprise,mimidang,Owww I'm aching alll over!!,sadness
1957452600,worry,ktjbpa2006,@AlexAllTimeLow awww that is very sad.  I sawwy,sadness
1957452660,sadness,joshuamange,also i hit my chin on something when i fell down and it hurts  ugh... work is gonna suck,sadness
1957455328,happiness,Broooooke_,hmm..Osaka. Last show today.Very sad  . i can decode ur msg ;) haha cant wait till u get 2 Sydney ;D i missed out on tickets tho :o xx,sadness
1957455502,sadness,Ambo_Nads,@veronicasmusic When are you guys coming back to do a tour in Oz? I missed you when you were here earlier this year   Made me sad,sadness
1957460469,worry,aniaanka,"@Wykrzyknik uff, ble litt trist av ï¿½ lese den siste tweetsen din  the challenge prooved too be tough!! :'(",sadness
1957461849,worry,madgestar,Son's 15th Birthday this weekend.Taking him out for a Mexican meal and a major game buying spree.I miss the Lego days,sadness
1957462737,sadness,minauderie,"@OpheliaPunk nothing  it's sad, actually",sadness
1957465210,worry,omgitsafox,"@Cadistra NOOOO I'll miss you too much!  I went stag to my prom and all the high school and middle school dances, if that helps. &gt;_&gt;",sadness
1957472320,sadness,_radcliffe,i wanna go out,sadness
1957472414,sadness,NicoleSantero,"it's overwhelming how i'm finally catching up with my cousin/bff since i was three who i haven't seen in years. ah, memories. miss her",sadness
1957474049,sadness,blucrystal,So many farewell parties! sad to see people leaving ..,sadness
1957474522,worry,Syd33,Memphis just can't catch a break these days. My poor Tigers,sadness
1957475168,worry,CraigHarris,5500 words and counting.  My hands hurt,sadness
1957475589,worry,sentimentalizzy,I miss the Doctor Who regular series.,sadness
1957477630,worry,Queeniet74,Watched The Notebook last night.... Wahhhhhhh!  V good.  Cried my eyes out!  Maybe a bit too close to home I think.    Go watch!,sadness
1957481172,sadness,becaghist,Cant sleeeeep &amp; i miss my long hairrr,sadness
1957481924,sadness,SonjaReneStuart,mom is ok so far. just missing jaron,sadness
1957483970,sadness,jazminepearl,Listing to old jb music.... Going bck to 2006&amp;2007 &lt;33 i miss tht,sadness
1957496192,worry,lost_dog,@urbancritter I am lost. Please help me find a good home.,sadness
1957500308,worry,Rhainnon90,is bored at school and my throat it swollen,sadness
1957500831,sadness,gsamzbrownsuga,NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,sadness
1957502273,sadness,ems_london,@alexandramusic morning Alex hope you will be tweeting lots today as we do miss you when you aren't on here  xx,sadness
1957504579,worry,alltimelowtokyo,@AlexAllTimeLow aw  were sad you had to leave tokyo. come back.please,sadness
1957511036,worry,pyroezra,i cant afford it  go to school here ? !!,sadness
1957514633,surprise,pyroezra,@bbyowls i cant afford it  go to school here ? !!,sadness
1957527894,worry,Yoshimikiosha,HOW COME ITS SO HARD TO FIND A GUY WITH THE SAME PASSION FOR LOVE AS FOR A WOMAN?? AM I EVER GOING TO SEE THE DAY! IM lonely yall!,sadness
1957528884,worry,kleineanne,I am living in a country where the government is ALWAYS a circus show ... sad but true...,sadness
1957529390,sadness,Leeceeuh,had my lip pierced for about 30 minutes.  and then it died.,sadness
1957532215,worry,phillipsdj,Being dragged round Ikea this morning  Bad times!,sadness
1957532930,worry,MarkOfRespect,@QueenofScots67 this is a little sad and I know I am new but no one has ff me yet,sadness
1957539103,neutral,brendalogy,Only four full days left in Aussie-land. I don't want to go home.,sadness
1957543470,sadness,Mamade2ninos,I'm sooo lost without my car  This is truly depressing. Pregnant people should NEVER be this stressed out!,sadness
1957544315,sadness,WeirdMeta,@jessiimiica I am like the most saddest person on jtv right now because you are not on,sadness
1957546027,sadness,lover626,Marley and me is the saddest movie ever I never cry in movies but this movie mad me cry,sadness
1957549641,worry,lost_dog,@dylandersen I am lost. Please help me find a good home.,sadness
1957553244,neutral,juliesllama,I almost lost you again phone  silly indy,sadness
1957553873,worry,Carto,I still have a very depressed feline fuzzball...it's another trip to vet tmrw to see what can be done...worried doesn't even cover it,sadness
1957553916,sadness,MLB_ChiVino,Going to miss my roomie @Staycy... We will no longer be roomies starting tomorrow,sadness
1957557426,sadness,Yoshimikiosha,@mizzlalabaybii @KEWSBOOGIE im just so lonely right now. maybe SADE GOT ME FEELING LIKE THIS,sadness
1957558319,sadness,michram,its my burfday and i'm all alone,sadness
1957561630,sadness,trapikcaster,I'll miss the 39th floor view...,sadness
1957563287,sadness,Rosinacarley,"@HellenBach the geek, the stepson and the live in nanny love BGT, me - can't stand it!  Had to watch TV upstairs all alone!",sadness
1957564346,sadness,krystlefershiz,"Just got finished watching marley and me, and I cried like a fucking baby...I'm missing my beast like crazy!",sadness
1957564908,sadness,soradio,My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,sadness
1957571193,worry,citylove,How sad is it that your best friend is so selfish and heartless that they exclude you from their life completely...I'm so sad,sadness
1957571502,sadness,RealMrMatrix,@jerseyzmorenita: Sad But True  :: I SHouldnt Right?,sadness
1957571940,sadness,kittycatemeow,"i lost all my friends, i'm alone and sleepy..i wanna go home",sadness
1957573557,sadness,se_brandon,"Also, I'm really missing Sami... just thought I would throw that one out there...",sadness
1957574071,neutral,Yoshimikiosha,@Lickasha sorry 19/female/atl very lonely,sadness
1957577074,relief,jaleesaa,&quot; ...not academically of course. &quot; I miss him already,sadness
1957583578,worry,liedra,"@demios101 oh, sorry to hear about this too  sad",sadness
1957586403,worry,aaronakateejay,DANG! I just ran over a bunny on the way home.  Why do I feel so bad? And Why do I have more compassion for animals than I do humans?,sadness
1957588423,worry,andrewsayer,I also shall be missing Lauren when she goes for a week,sadness
1957590087,worry,Mercs,mayb he was raped when he was younger,sadness
1957597348,anger,cierinethegreat,lost all my files since high school.,sadness
1957601055,happiness,thefluentone,@moneymakn1 Thats actually not that fun as you would think... I was hurting for a week after a similar experience.,sadness
