tweet_id,sentiment,author,content,dominant_emotion
1956990413,neutral,Wendywitwoo,Oh is that time for real?,surprise
1956990729,worry,marpizza,Oh no one minute too late! Oh well,surprise
1957004184,worry,rionne,oh men!!!!!!......I really can't see my face........c'mon guys!!!,surprise
1957005410,surprise,HIM357,"2 days of this month left, and I only have 400MB left on my onpeak downloads.",surprise
1957028895,sadness,d0nnadean,I haven't seen Muffin in two whole days!,surprise
1957032014,neutral,Simranvfc,night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD],surprise
1957032539,worry,tweeterchic66,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.",surprise
1957058436,surprise,Miiiiich,Oh no!  Nighty night.,surprise
1957072400,love,kaboyd5,Pug just woke me from an incredible sleep!,surprise
1957091357,neutral,hobosexual,@keytar still!! give your computer a break omg,surprise
1957097329,surprise,karinb_za,@astynes Me too.  Wonder if Mnet will show it...,surprise
1957098732,worry,ThatWhisperKiss,"finished sewing for the night, uploading pictures from slidebar and beach. i cant believe i am having difficulties with twitter!",surprise
1957104581,neutral,sosleazy,I don't think I will be able to get out of bed tomorrow morning  we will seeeee!,surprise
1957122354,surprise,r3dux,FINALLY...the internet is up. The server is down in Phoenix and it was fucked up.,surprise
1957152849,worry,J_Dizzly,Ahhhhh! My &quot;Let The Right One In&quot; DVD broke,surprise
1957155160,neutral,MiCTLaN74,"Oh noes.  hey, what's my tatoo say?",surprise
1957174335,surprise,MandyKitKat,OUCH! my earphones just shocked me,surprise
1957191437,worry,tastetheL0VE,Phone will die soon. What to do now? Oh no!,surprise
1957205757,empty,jemariie,@Tinkabellastar no. my school will start on June1.  two days to go. i still don't want. :l,surprise
1957206274,surprise,ziggywas,Summer Glau to appear in Dollhouse next year http://tinyurl.com/mnrezc... I still can't believe they won't renew TSCC,surprise
1957208359,worry,ziggywas,Summer Glau to appear in Dollhouse next year http://tinyurl.com/mnrezc ... I still can't believe they won't renew TSCC,surprise
1957228259,worry,VictoriaDoyle,wow i'm really reallly ill,surprise
1957236446,surprise,viintagedresses,wow i have no friends on twitter,surprise
1957241801,neutral,NassauCT,looks can be deceiving,surprise
1957263744,hate,sacha91,omg!!! mcdonalds combo and wendys sundae = puke material,surprise
1957271601,boredom,Arwa_3green,omg i realy can't sleep ughh,surprise
1957278377,worry,kaisjy,Wow slept in with no dolidh here to wake me up,surprise
1957282768,neutral,thecrimedonkey,@_anniemay OMG No fair,surprise
1957305086,sadness,vintage_93,OMG sore shoulder,surprise
1957306361,worry,Mymacgeek,an aston os my dream car but its wishful thinking,surprise
1957312851,relief,elematt,shattered! PWG botched his hybrid dolphin shirt order and sent him xl,surprise
1957335106,worry,mystique413,On the bus goin 2 work but omg seriously im sooooo tired dont know if i'll survive the 8 hour shift,surprise
1957339578,worry,richfeistel,mmkayy TOTALLY going to bedd now. i mean it!! im only gonna get 3 hours of sleep tonight,surprise
